Hostplus Superannuation Fund,,,,
HC High Growth Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC High Growth Option —Assets,,,Summary,
JOHN KEELLS HOLDINGS PLC NPV,6475538,"3,230,283","402,429",0.04%
JOHNS LYNG GROUP LTD,BYPHBX3,-49,-182,0.00%
JOHNSON & JOHNSON COM,2475833,"4,948","1,155,837",0.11%
JOHNSON CONTROLS INTERNATION,BY7QL61,139,"17,716",0.00%
JOHNSON ELECTRIC HLDGS,BP4JH17,"32,208","72,994",0.01%
JOINCARE PHARMACEUTICAL GR-A,BP3RBV0,"16,021","39,722",0.00%
JUDO CAPITAL HOLDINGS LTD,BMW7F41,"164,837","300,003",0.03%
JULIUS BAER GROUP LTD,B4R2R50,56,"5,849",0.00%
JUMBO INTERACTIVE LTD JUMBO INTERACTIVE,6524474,"2,397","33,361",0.00%
JUNIPER NETWORKS INC COM,2431846,69,"4,154",0.00%
KAJIMA CORP,6481320,112,"3,324",0.00%
KANSAI ELECTRIC POWER,6483489,170,"3,067",0.00%
KANSAI PAINT CO LTD,6483746,"21,161","492,140",0.05%
KAO CORP,6483809,109,"7,153",0.00%
KAR AUCTION SERVICES INC COM USD0.01,B4Y1MH7,"23,353","748,326",0.07%
KAROON ENERGY LTD,B00SV00,"140,078","194,709",0.02%
KASIKORNBANK PCL (ALIEN MKT),6888794,"80,986","596,561",0.06%
KAWASAKI KISEN KAISHA LTD NPV,6484686,156,"3,619",0.00%
KBC CORP LTD-A,IE000S9YS762 (ISIN),"2,679","12,413",0.00%
KDDI CORP,6248990,984,"51,004",0.00%
KE HOLDINGS INC,BMBX7M2,"9,592","285,380",0.03%
KELLANOVA,2486813,63,"8,245",0.00%
KELSIAN GROUP LTD,BPBKR80,"70,543","258,188",0.02%
KENVUE INC,BQ84ZQ6,"28,891","996,256",0.09%
KEPPEL LTD,B1VQ5C0,375,"3,034",0.00%
KERING,5505072,18,"7,310",0.00%
KERRY GROUP PLC-A 'A'ORD EUR0.125,490656,20,"3,074",0.00%
KERRY GROUP PLC-A ORD,4519579,"1,699","264,957",0.03%
KESKO OYJ-B SHS NPV SER'B',4490005,159,"4,843",0.00%
KEURIG DR PEPPER INC,BD3W133,254,"13,169",0.00%
KEYCORP NEW COM,2490911,144,"3,974",0.00%
KEYENCE CORPORATION,6490995,692,"459,618",0.04%
KEYERA CORP COM NPV,B3SGMV5,64,"3,155",0.00%
KEYSIGHT TECHNOLOGIES IN-W/I KEYS-W,BQZJ0Q9,"1,872","485,789",0.05%
KGL RESOURCES LTD,B066SP2,"195,818","18,603",0.00%
KIKKOMAN CORPORATION KIKKOMAN CORPORATIO,6490809,165,"2,994",0.00%
KIMBERLY CLARK CORP COM,2491839,73,"15,461",0.00%
KIMCO REALTY CORP COM STK USD0.01,2491594,145,"5,483",0.00%
KINDER MORGAN INC COM USD0.01,B3NQ4P8,445,"19,677",0.00%
KINGFA SCI.& TECH CO LTD-A,BP3R8H5,"4,523","8,597",0.00%
KINGFISHER PLC,3319521,"58,180","292,683",0.03%
KINGNET NETWORK CO LTD-A 002517,BD5CC27,"13,827","41,402",0.00%
KINGSPAN GROUP PLC ORD EUR0.13,492793,35,"4,137",0.00%
KINGSPAN GROUP PLC ORD EUR0.13,4491235,"2,589","305,083",0.03%
KINROSS GOLD CORP,B03Z841,238,"3,574",0.00%
KIRIN HOLDINGS COMPANY LIMITED,6493745,140,"2,938",0.00%
KKR & CO INC,BG1FRR1,136,"32,467",0.00%
KLA-TENCOR CORP COM,2480138,31,"31,593",0.00%
KLEPIERRE EUR1.40,7582556,89,"4,131",0.00%
KMD BRANDS LTD,B59HM77,"329,479","128,497",0.01%
KNIGHT-SWIFT TRANSPORTATION,BF0LKD0,44,"3,797",0.00%
KNORR-BREMSE AG,BD2P9X9,5,587,0.00%
KOBE BUSSAN CO LTD 3038,B14RJB7,32,"1,128",0.00%
KOC HOLDING AS TRY1,B03MVJ8,"11,478","93,630",0.01%
KOGAN.COM LTD,BYYY339,"31,440","195,241",0.02%
KOITO MANUFACTURING CO LTD NPV,6496324,"2,490","51,374",0.00%
KOKUSAI ELECTRIC CORP,BNGHNG2,44,974,0.00%
KOMORI CORPORATION,6496658,"11,105","137,869",0.01%
KONAMI GROUP CORP,6496681,36,"5,462",0.00%
KONE CORP NEW NPV ORD 'B',B09M9D2,73,"5,763",0.00%
KONINKLIJKE AHOLD DELHAIZE NV,BD0Q398,225,"11,825",0.00%
KONINKLIJKE KPN NV,5956078,"1,092","6,421",0.00%
KONINKLIJKE PHILIPS NV,5986622,230,"9,399",0.00%
KOREA ELECTRIC POWER CORP,6495730,"10,644","234,143",0.02%
KOREA INVESTMENT HOLDINGS CO KRW5000,6654586,"4,382","342,753",0.03%
KOTAK MAHINDRA BANK LTD,6135661,"21,591","727,451",0.07%
KPIT TECHNOLOGY LTD,BFMX0X4,"12,155","335,842",0.03%
KR1 PLC,BYYPQX3,"25,286","32,734",0.00%
KRAFT HEINZ CO/THE,BYRY499,200,"9,900",0.00%
KRAFTON INC,BMBP900,655,"224,633",0.02%
KREDIETBANK NV PARTS S ORD,4497749,116,"14,501",0.00%
KROGER CO COM,2497406,"1,817","179,497",0.02%
KT CORP,6505316,"1,838","88,429",0.01%
KT CORP SPONSORED ADR,2419875,"4,915","123,211",0.01%
KUBOTA CORP,6497509,330,"6,237",0.00%
KUEHNE & NAGEL INTL AG-REG CHF1(REGD)(PO,B142S60,13,"4,692",0.00%
KWEICHOW MOUTAI CO LTD-A,BP3R2F1,"3,048","1,022,026",0.10%
KYOCERA CORP ORD,6499260,"4,949","80,137",0.01%
KYOTO FINANCIAL GROUP INC,BMV4NR2,"6,820","162,613",0.02%
KYOWA KIRIN CO LTD,6499550,215,"5,242",0.00%
LA FRANCAISE DES JEUX SAEM FDJ,BG0SC10,33,"2,032",0.00%
LABCORP HOLDINGS INC,BSBK800,22,"7,999",0.00%
LAM RESEARCH CORP,US5128073062 (ISIN),"1,361","158,825",0.02%
LAMB WESTON HOLDING INC LW-W,BDQZFJ3,31,"3,320",0.00%
LAND SECURITIES GROUP PLC,BYW0PQ6,81,958,0.00%
LARGAN PRECISION CO LTD,6451668,"4,014","529,029",0.05%
LAS VEGAS SANDS CORP COM USD0.001,B02T2J7,82,"6,784",0.00%
LASERTEC CORPORATION LASERTEC CORPORATIO,6506267,21,"3,344",0.00%
LAUDER ESTEE COS INC CL A,2320524,52,"6,333",0.00%
LEAR CORP,B570P91,"3,272","500,407",0.05%
LEG IMMOBILIEN AG NPV,B9G6L89,22,"2,983",0.00%
LEGAL & GENERAL GROUP PLC,560399,"1,038","4,827",0.00%
LEGEND UPSTAR HOLDINGS LTD,BYXGD92,"124,001","2,011",0.00%
LEGRAND LEGRAND,B11ZRK9,73,"11,442",0.00%
Lendlease Group,AU000000LLC3 (ISIN),"412,620","2,570,623",0.24%
LENNAR CORP COM,2511920,55,"12,109",0.00%
LENNOX INTERNATIONAL INC,2442053,6,"6,143",0.00%
LENS TECHNOLOGY CO LTD-A,BD5CP17,"26,446","127,417",0.01%
LENTA LTD-REG S LNTA,BJ621Y3,"3,008",0,0.00%
LEO LITHIUM LTD,BPX2X20,"219,179","110,685",0.01%
LESAKA TECHNOLOGIES INC,B0B0WZ7,"18,072","157,909",0.01%
LG CHEM LTD,6346913,363,"99,517",0.01%
LIBERTY BROADBAND-A LBRDA,BRTLBY3,13,"1,575",0.00%
LIBERTY BROADBAND-C LBRDK,BRTLC06,65,"7,906",0.00%
LIBERTY LATIN AMERICA-CL A-WI,BD9Q3P5,464,"4,766",0.00%
LIBERTY LATIN AMERICA-CL-C-WI,BD9Q3Q6,630,"6,449",0.00%
LIBERTY MEDIA CORP-LIBERTY-A,BPLYVQ8,35,"3,792",0.00%
LIBERTY MEDIA CORP-LIBERTY-C,BPLYVR9,51,"5,635",0.00%
LIBERTY MEDIA CORP-LIB-NEW-A,BPLYVM4,29,"3,944",0.00%
LIBERTY MEDIA CORP-LIB-NEW-C,BPLYVN5,631,"94,368",0.01%
LIC HOUSING FINANCE LTD,6101026,"12,741","143,739",0.01%
LIFCO AB-B SHS,BL6K7K9,51,"2,413",0.00%
LIFE360 INC-CDI,BJMXQ67,"73,413","1,654,729",0.16%
LIFESTYLE COMMUNITIES LTD NPV,6137195,"10,711","91,684",0.01%
LIGHT & WONDER INC-CDI,BMXNX11,"12,172","1,669,567",0.16%
LINAMAR CORP COM NPV,2516022,"6,905","440,354",0.04%
LINDE PLC,BNZHB81,110,"74,172",0.01%
LINDT & SPRUENGLI AG-PC,5962280,0,"6,486",0.00%
LINGYI ITECH GUANGDON-RIGHTS18NOV24,CNE1000015L5 (ISIN),19,0,0.00%
LINK REIT NPV,B0PB4M7,502,"3,427",0.00%
LIONS GATE ENTERTAINMENT-B LGF/B,BD8NB53,0,0,0.00%
LIONTOWN RESOURCES LTD,B1J89V5,"1,702",893,0.00%
LIVANOVA PLC LIVN,BYMT0J1,"5,368","401,518",0.04%
LIVE NATION ENTERTAINMENT INC,B0T7YX2,31,"6,419",0.00%
LIVON PHARMACEUTICAL GROU-A,BD5CQ25,"11,671","97,567",0.01%
LKQ CORP COM USD0.01,2971029,74,"4,394",0.00%
LLOYDS BANKING GROUP PLC,870612,"201,556","223,339",0.02%
LOBLAW COS LTD COM,2521800,29,"6,137",0.00%
LOEWS CORP COM,2523022,670,"91,699",0.01%
LOGITECH INTERNATIONAL-REG CHF0.25(REGD),B18ZRK2,33,"4,467",0.00%
LOJAS RENNER S.A. SHS,B0CGYD6,"56,156","177,938",0.02%
LOMA NEGRA CIA IND-SPON ADR,BYP6YP3,"4,622","89,130",0.01%
LOMON BILLIONS GROUP CO-A,BD5LS71,"4,427","17,208",0.00%
LONDON STOCK EXCHANGE GROUP ORD GBP0.069,B0SWJX3,"8,327","1,900,751",0.18%
LONZA AG-REG,7333378,15,"14,485",0.00%
LOOMIS AB-B,BMVB566,"8,031","394,929",0.04%
L'OREAL,4057808,54,"30,822",0.00%
LOTTERY CORP/THE,BNRQW72,"22,486","111,083",0.01%
LOTUS BAKERIES,4224992,0,630,0.00%
LOTUS RESOURCES LTD,BK6XLC1,"1,468,737","293,747",0.03%
LOUISIANA-PACIFIC CORP COM,2535243,"1,708","285,731",0.03%
LOVISA HOLDINGS LTD,BT9PVP0,"14,638","441,492",0.04%
LOWES COS INC COM,2536763,131,"52,107",0.00%
LPL FINANCIAL HOLDINGS INC LPL FINANCIAL,B75JX34,16,"8,551",0.00%
LSL PROPERTY SERVICES PLC ORD GBP0.002,B1G5HX7,"2,844","17,487",0.00%
LUCECO PLC LUCE,BZC0LP4,"30,709","79,759",0.01%
LUFTHANSA AG,5287488,115,"1,190",0.00%
LUKOIL 0AO-CLS,4560588,638,0,0.00%
LUKOIL PJSC-SPON ADR LKOD,BYZDW27,14,0,0.00%
LULULEMON ATHLETICA INC COM STK USD0.01,B23FN39,640,"395,477",0.04%
LUNDBERGS AB-B SHS SER'B'NPV,4538002,61,"4,494",0.00%
LUNDIN MINING CORP COM NPV,2866857,247,"3,438",0.00%
LUXSHARE PRECISION INDUSTR-A,BD5CN80,"4,549","40,793",0.00%
LVMH MOET HENNESSY LOUIS VUITTON SE,4061412,598,"635,147",0.06%
LY CORPORATION,6084848,524,"2,258",0.00%
LYNAS RARE EARTHS LTD,6121176,"338,381","2,175,790",0.21%
LYONDELLBASELL INDU-CL A COM USD0.01 CLA,B3SPXZ3,"2,549","305,805",0.03%
M & T BANK CORP COM,2340168,34,"10,380",0.00%
M&C SAATCHI PLC ORD GBP0.01,B01F7T1,"88,353","303,821",0.03%
M&G PRUDENTIAL PLC MNG,BKFB1C6,438,"1,755",0.00%
M3 INC,B02K2M3,129,"1,849",0.00%
MA FINANCIAL GROUP LTD,BMYZBN4,"25,362","155,214",0.01%
MAAS GROUP HOLDINGS LTD,BLD4919,"32,440","155,386",0.01%
MACMAHON HOLDINGS LIMITED NPV,6551160,"1,145,222","395,102",0.04%
MACQUARIE GROUP LIMITED,B28YTC2,"43,820","9,712,740",0.92%
MACQUARIE TECHNOLOGY GROUP LTD,6175054,800,"70,625",0.01%
MACROTECH DEVELOPERS LTD,BM9G370,"12,768","334,661",0.03%
MAGELLAN FINANCIAL GROU-CW27,BQ3SBX2,-3,0,0.00%
MAGELLAN FINANCIAL GROUP LTD NPV,B015YX4,"24,562","273,131",0.03%
MAGNA INTL INC CL A,2554475,75,"5,084",0.00%
MAGNETIC RESOURCES MAU,B1SDPL3,"46,166","51,013",0.00%
MAGNITOGORSK IRON & STEEL MAGN,B5B1RP0,"7,379",0,0.00%
MAGNOTEC LTD,B6S2SR2,"53,918","9,975",0.00%
MAHINDRA & MAHINDRA LTD,6100186,"7,834","444,390",0.04%
MAJOR CINEPLEX GROUP-FOREIGN THB1(ALIEN,TH0671010Z16,"73,616","51,263",0.00%
MAKEMYTRIP LTD USD0.0005,B552PC2,795,"144,096",0.01%
MAKITA CORP SHS,6555805,561,"27,900",0.00%
MALAYSIA AIRPORTS HLDGS BHD,6188193,"211,531","808,372",0.08%
MANAPPURAM FINANCE LTD,6570400,"8,731","31,037",0.00%
MANHATTAN ASSOCIATES INC COM STK USD0.01,2239471,15,"6,676",0.00%
MANULIFE FINANCIAL CORP COM,2492519,381,"18,872",0.00%
MARATHON PETROLEUM COM USD0.01,B3K3L40,"1,518","342,009",0.03%
MARKEL CORP COM NPV,2566436,2,"5,853",0.00%
MARKETAXESS HOLDINGS INC COM USD0.003,B03Q9D0,8,"2,771",0.00%
MARKS & SPENCER GRP PL SHS,3127489,-379,"-2,879",0.00%
MARRIOTT INTERNATIONAL -CL A,2210614,56,"25,168",0.00%
MARSH & MCLENNAN COS,2567741,"2,429","833,392",0.08%
MARTIN MARIETTA MATERIALS,2572079,12,"10,400",0.00%
MARUBENI CORP,6569464,369,"9,077",0.00%
MARUTI SUZUKI INDIA LTD,6633712,"9,084","1,860,739",0.18%
MARVELL TECHNOLOGY INC,BNKJSM5,189,"33,677",0.00%
MASCO CORP COM,2570200,936,"109,720",0.01%
MASTERCARD INC-CLASS A COM USD0.0001 CLA,B121557,190,"161,483",0.02%
MATCH GROUP INC,BK80XH9,58,"3,080",0.00%
MATSUKIYOCOCOKARA & CO,B249GC0,55,"1,296",0.00%
MAX HEALTHCARE INST LTD,INE027H01010 (ISIN),"17,511","372,661",0.04%
MBIA INC COM STK USD1,2547044,"10,148","105,879",0.01%
MBK PCL,TH0480B10Z01 (ISIN),"9,421","7,676",0.00%
MBK PCL-FOREIGN MBK/F,BFWRH57,"243,891","236,845",0.02%
MCCORMICK & CO INC COM NON VTG,2550161,46,"5,634",0.00%
MCDONALDS CORP COM,2550707,161,"75,457",0.01%
MCDONALD'S HOLDINGS CO JAPAN NPV,6371863,49,"3,141",0.00%
MCKESSON CORP COM,2378534,29,"26,686",0.00%
MCMILLAN SHAKESPEARE LTD NPV,B00G1Q0,407,"6,104",0.00%
MCX LTD,B7L5LS7,729,"85,691",0.01%
MD MEDICAL GROUP INVEST-REGS GDR(EACH RE,B8JZ5X9,"1,951",0,0.00%
MEDIATEK INC,6372480,"23,897","1,665,850",0.16%
MEDIBANK PRIVATE LTD,BRTNNQ5,"252,187","955,790",0.09%
MEDIOBANCA SPA EUR0.5,4574813,28,669,0.00%
MEDTRONIC PLC,BTN1Y11,"5,497","709,160",0.07%
MEG ENERGY CORP COM NPV,B4XF9J1,114,"3,010",0.00%
MEGAPORT LIMITED,BZ5ZWZ3,"17,921","132,078",0.01%
MEIJI HOLDINGS CO LTD NPV,B60DQV3,65,"2,140",0.00%
MEITUAN-CLASS B,BGJW376,"101,732","3,208,795",0.30%
MELROSE INDUSTRIES PLC,GB00BNGDN821,"22,616","253,344",0.02%
MERCADOLIBRE INC COM STK USD0.001,B23X1H3,"1,223","3,357,607",0.32%
MERCEDES-BENZ GROUP AG,5529027,203,"18,255",0.00%
MERCK & CO INC COM,2778844,571,"91,759",0.01%
MERCK KGAA,4741844,31,"7,249",0.00%
MERCURY NZ LTD,B8W6K56,247,"1,305",0.00%
MERIDIAN ENER-PARTLY PAID SH MERIDIAN EN,BWFD052,168,900,0.00%
MESOBLAST LTD NPV,B04SF48,-19,-58,0.00%
META PLATFORMS INC-CLASS A,B7TL820,"1,953","1,846,635",0.18%
METALS ACQUISITION LTD-CDI,BS2KWR4,"15,050","259,009",0.02%
METCASH LTD NPV,B0744W4,"540,151","1,674,469",0.16%
METLIFE INC COM,2573209,147,"19,378",0.00%
METRO INC -A CLASS'A'SUB VTG NPV,2583952,47,"4,790",0.00%
METRO MINING LTD MMI,BTDBK35,"1,366,880","82,013",0.01%
METSO OUTOTEC OYJ,B1FN8X9,79,"1,185",0.00%
METTLER-TOLEDO INTERNATIONAL COM STK USD,2126249,156,"308,232",0.03%
MGM RESORTS INTERNATIONAL,2547419,"5,504","308,003",0.03%
MICHELIN (CGDE),BPBPJ01,134,"7,149",0.00%
MICHELMERSH BRICK HOLDINGS P MBH,B013H06,"72,329","145,574",0.01%
MICROCHIP TECHNOLOGY INC COM,2592174,628,"58,132",0.01%
MICRON TECHNOLOGY INC,2588184,"4,018","546,223",0.05%
MICROSOFT CORP,2588173,"9,540","6,494,879",0.62%
MICROSTRATEGY INC-CL A COM CL'A' USD0.00,2974329,42,"19,556",0.00%
MID-AMERICA APARTMENT COMM COM STK USD0.,2589132,42,"10,538",0.00%
MIDEA GROUP CO LTD-A,BD5CPP1,"24,708","408,875",0.04%
MIDLAND HLDGS HKD0.10,6597700,"94,408","16,489",0.00%
MILLICOM INTL CELLULAR-SDR SHS DEP RCT,B00L2M8,"3,568","141,458",0.01%
MINEBEA MITSUMI INC,6642406,126,"3,329",0.00%
MINERAL RESOURCES LTD NPV,B17ZL56,"46,402","1,589,275",0.15%
MINOR INTERNATIONAL PCL-FOR THB1(ALIEN M,B018BZ4,"115,298","142,008",0.01%
MINTH GROUP LTD,B0RJCG9,"38,888","122,254",0.01%
MIRVAC GROUP STAPLED SECURITIES,6161978,"856,352","1,605,661",0.15%
MITSUBISHI CHEMICAL GROUP CO,B0JQTJ0,232,"1,906",0.00%
MITSUBISHI CORP ORD,6596785,"6,433","172,159",0.02%
MITSUBISHI ELEC CORP,6597045,388,"10,717",0.00%
MITSUBISHI ESTATE CO LTD,6596729,"5,009","113,268",0.01%
MITSUBISHI HC CAPITAL INC,6268976,78,835,0.00%
MITSUBISHI HEAVY INDS LTD,6597067,637,"14,549",0.00%
MITSUBISHI UFJ FINANCIAL GRO NPV,6335171,"2,448","46,437",0.00%
MITSUI & CO LTD ORD,6597302,560,"19,045",0.00%
MITSUI CHEMICALS INC,6597368,16,582,0.00%
MITSUI FUDOSAN CO LTD,6597603,604,"7,887",0.00%
MITSUI O.S.K. LINES LTD,6597584,62,"3,486",0.00%
MIZRAHI TEFAHOT BANK LTD ILS0.01,6916703,90,"6,313",0.00%
MIZUHO FINANCIAL GROUP INC,6591014,525,"20,898",0.00%
MMC NORILSK NICKEL OJSC-RTS RUB1(RUB),7131431,"3,007",0,0.00%
MMC NORILSK NICKEL PJSC,B5B1TX2,"4,938",0,0.00%
MODERNA INC MRNA,BGSXTS3,"5,742","385,638",0.04%
MOHAWK INDUSTRIES INC COM,2598699,"2,294","441,341",0.04%
MOLINA HEALTHCARE INC COM,2212706,12,"5,750",0.00%
MOLSON COORS BEVERAGE CO,B067BM3,36,"3,339",0.00%
MONADELPHOUS GROUP LIMITED NPV,6600471,"4,793","67,108",0.01%
MONASH IVF GROUP LTD MONASH IVF GROUP LT,BMSK748,"125,261","159,082",0.02%
MONCLER SPA,BGLP232,"13,785","1,175,355",0.11%
MONDAY.COM LTD,BMHRYX8,7,"2,817",0.00%
MONDELEZ INTERNATIONAL INC,B8CKK03,291,"28,083",0.00%
MONDI PLC,BMWC6P4,"9,989","240,842",0.02%
MONGODB INC MDB,BF2FJ99,14,"5,383",0.00%
MONOLITHIC POWER SYSTEMS INC COM STK USD,B01Z7J1,10,"9,666",0.00%
MONOTARO CO LTD MONOTARO CO,B1GHR88,"8,796","241,534",0.02%
MONSTER BEVERAGE CORP MNST,BZ07BW4,"8,398","712,870",0.07%
MONTAUK RENEWABLES INC,BMDMWB1,"4,921","34,960",0.00%
MONTAUK RENEWABLES INC,BN6HHQ0,"4,653","29,907",0.00%
MOODYS CORP COM,2252058,"3,142","2,401,837",0.23%
MORGAN STANLEY COM NEW,2262314,"3,703","751,933",0.07%
MOSAIC CO COM USD0.01,B3NPHP6,78,"3,097",0.00%
MOTOR OIL (HELLAS) SA EUR0.3 (CR),5996234,"4,073","140,609",0.01%
MOTORCOMM ELECTRONIC TECHN-A,CNE100005ZK0 (ISIN),811,"17,657",0.00%
MOTOROLA SOLUTIONS INC,B5BKPQ4,742,"554,076",0.05%
MOUNT GIBSON IRON LTD,6963743,"777,433","229,343",0.02%
MOWI ASA,B02L486,65,"1,794",0.00%
MP MATERIALS CORP,BN15Y35,"5,279","133,012",0.01%
MS&AD INSURANCE GROUP HOLDIN,B2Q4CS1,"2,143","75,965",0.01%
MSC INDUSTRIAL DIRECT CO-A CL A COM USD0,2567655,"2,406","290,197",0.03%
MSCI INC-A COM STK USD0.01 CLS'A',B2972D2,765,"741,620",0.07%
MTN GROUP LTD ZAR0.0001,6563206,"26,668","209,972",0.02%
MTR CORP,6290054,487,"2,745",0.00%
MTU AERO ENGINES AG,B09DHL9,14,"7,445",0.00%
MUENCHENER RUECKVER AG-REG,5294121,27,"22,159",0.00%
MULTIPLAN EMPREENDIMENTOS COM NPV,B23DZG0,"24,920","137,338",0.01%
MURATA MFG CO LTD,6610403,369,"9,697",0.00%
MUYUAN FOODSTUFF CO LTD-A,BD5CJX7,"6,000","50,742",0.00%
MYSTATE LTD NPV,B41XHK4,"5,573","24,857",0.00%
NANOSONICS LTD NPV,B1WF979,"59,313","178,533",0.02%
NANYANG TOPSEC TECHNOLOGIE-A,BD73L76,"15,923","22,594",0.00%
NASDAQ INC,2965107,91,"11,411",0.00%
NASPERS LTD-N SHS,BN0VX82,"1,052","375,802",0.04%
NATIONAL AUSTRALIA BANK LTD,6624608,"220,139","8,167,174",0.77%
NATIONAL BANK OF CANADA COM,2077303,68,"10,061",0.00%
NATIONAL BANK OF GREECE ETE,BG087C6,"18,557","237,728",0.02%
NATIONAL GRID PLC NG/LN,BDR05C0,"1,391","26,733",0.00%
NATIONAL STORAGE REIT REIT UNITS,BGP6479,-301,-705,0.00%
NATWEST GROUP PLC,BM8PJY7,"8,932","72,650",0.01%
NAURA TECHNOLOGY GROUP CO-A,BD5LYF1,"1,612","138,654",0.01%
NAVER CORP,6560393,"2,861","624,421",0.06%
NEC CORP SHS,6640400,67,"9,439",0.00%
NEMETSCHEK SE,5633962,19,"3,025",0.00%
NESTE OIL OYJ NPV,B06YV46,"11,151","226,123",0.02%
NESTLE S A SHS,7123870,"8,364","1,116,231",0.11%
NETAPP INC,2630643,50,"9,282",0.00%
NETEASE INC,BM93SF4,"38,500","1,107,890",0.11%
NETFLIX INC COM USD0.001,2857817,"1,565","2,252,632",0.21%
NETWEALTH GROUP LTD NWL,BF52PL1,"45,778","1,316,126",0.12%
NEUREN PHARMACEUTICALS LTD NEU,B04LVF0,"14,108","176,354",0.02%
NEUROCRINE BIOSCIENCES INC COM USD0.001,2623911,21,"4,665",0.00%
NEW CHINA LIFE INSURANCE C-A,BP3R3F8,"1,592","17,407",0.00%
NEW HOPE CORP LTD,6681960,"145,336","720,865",0.07%
NEW WORLD DEVELOPMENT,BM94GQ4,"22,141","23,754",0.00%
NEWAY VALVE SUZHOU CO LTD-A,BS7K3W1,"14,299","69,742",0.01%
NEWMONT  CORP,2636607,237,"14,219",0.00%
NEWMONT CORP,BJYKTV2,11,632,0.00%
NEWMONT CORP-CDI,BRDVMB3,"61,680","3,672,419",0.35%
NEWS CORP - CLASS B- CDI,BD7SZP7,"3,573","176,851",0.02%
NEWS CORP/NEW-CL A-W/I NEWS CORP/NEW-CL,BBGVT40,133,"5,935",0.00%
NEXGEN ENERGY LTD-CDR,BLR8K36,"225,999","2,443,050",0.23%
NEXI SPA NEXI,BJ1F880,"38,545","345,529",0.03%
NEXON CO LTD NPV,B63QM77,"1,619","39,542",0.00%
NEXT PLC SHS,3208986,"1,143","219,620",0.02%
NEXTDC LTD NPV,B5LMKP4,"103,222","1,555,559",0.15%
NEXTERA ENERGY INC,2328915,474,"54,843",0.01%
NIB HOLDINGS LTD NPV,B28ZM60,"62,019","339,866",0.03%
NIBE INDUSTRIER AB-B SHS,BN7BZM3,416,"2,627",0.00%
NICE LTD,6647133,21,"5,664",0.00%
NICK SCALI LTD NPV,B00VZV8,"8,905","133,661",0.01%
NICKEL INDUSTRIES LTD,BZ7NDP2,"1,198,782","988,995",0.09%
NIDEC CORP,6640682,189,"5,552",0.00%
NIHON KOHDEN CORP NPV,6639970,294,"6,525",0.00%
NIKE INC CL B,2640147,"4,680","571,985",0.05%
NINE ENTERTAINMENT CO HOLDIN NPV,BGQV183,"911,367","1,125,538",0.11%
NINESTAR CORP-A,BD5M2G1,"2,142","13,275",0.00%
NINGBO SHANSHAN CO LTD-A,BP3RF63,"21,071","34,535",0.00%
NINTENDO CORP LTD,6639550,"5,097","485,266",0.05%
NIPPON BUILDING FUND INC REIT,6396800,2,"2,971",0.00%
NIPPON PAINT HOLDINGS CO LTD,6640507,257,"2,702",0.00%
NIPPON SANSO HOLDINGS CORP,6640541,7,334,0.00%
NIPPON STEEL CORP,6642569,189,"6,166",0.00%
NIPPON TELEGRAPH & TELEPHONE ORD,6641373,"6,795","11,033",0.00%
NIPPON TELEVISION HOLDINGS INC,6644060,"1,648","46,544",0.00%
NIPPON YUSEN KK,6643960,74,"3,992",0.00%
NISOURCE INC COM,2645409,76,"4,493",0.00%
NISSAN MOTOR CO LTD,6642860,463,"2,284",0.00%
NISSIN FOODS HOLDINGS CO LTD,6641760,105,"4,136",0.00%
NITORI CO LTD,6644800,15,"2,935",0.00%
NITTO DENKO CORP,6641801,128,"3,517",0.00%
NMC HEALTH PLC ORD GBP0.10,GB00B7FC0762,12,221,0.00%
NN GROUP NV - W/I NN GROUP NV - W/I,BNG8PQ9,96,"6,736",0.00%
NOBLE CORP PLC,BN2QTL0,"6,134","311,091",0.03%
NOKIA OYJ,5902941,"1,306","9,339",0.00%
NOMAD FOODS LTD NOMD,BQFJGK5,"13,620","369,120",0.03%
NOMURA HOLDINGS INC SHS,6643108,"21,175","202,665",0.02%
NOMURA RESEARCH INSTITUTE,6390921,106,"5,078",0.00%
NORDEA BANK ABP NDA,BFM0SV9,854,"15,000",0.00%
NORDSON CORP COM NPV,2641838,8,"2,743",0.00%
NORFOLK SOUTHERN CORP COM,2641894,50,"18,836",0.00%
NORSK HYDRO ASA,B11HK39,377,"3,349",0.00%
NORTHAM PLATINUM HOLDINGS LT,BMZ1NS0,"15,280","127,397",0.01%
Northcape Capital Australia,MXP320321310 (ISIN),"96,999","1,338,904",0.13%
NORTHERN STAR RESOURCES LTD,6717456,"144,818","2,235,987",0.21%
NORTHERN TR CORP COM,2648668,70,"11,625",0.00%
NOVARTIS AG-REG SHS,7103065,454,"71,840",0.01%
NOVATEK OAO RUB0.1(USD),B19MY34,"1,044",0,0.00%
NOVO NORDISK A/S-B,BP6KMJ1,737,"103,241",0.01%
NOVONESIS (NOVOZYMES) B,B798FW0,95,"8,678",0.00%
NOVONIX LTD,BYZ6CM6,"24,834","18,253",0.00%
NRG ENERGY INC COM USD0.01,2212922,51,"7,436",0.00%
NRW HOLDINGS LTD,B23XW70,"84,753","325,451",0.03%
NTT DATA GROUP CORP,6125639,172,"5,366",0.00%
NU HOLDINGS LTD/CAYMAN ISL-A,BN6NP19,"48,254","807,414",0.08%
