Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
SHINHAN FINANCIAL GROUP LTD,6397502,"7,954","415,799",0.02%
SHIONOGI & CO LTD,6804682,211,"4,817",0.00%
SHISEIDO CO LTD ORD,6805265,91,"2,598",0.00%
SHIZUOKA FINANCIAL GROUP INC,BP38QJ6,241,"3,180",0.00%
SHOPIFY INC - A SH,BX865C7,235,"40,290",0.00%
SHOPIFY INC - A SH,BXDZ9Z0,"10,556","1,812,886",0.09%
SIBANYE STILLWATER LTD,BL0L913,"360,977","462,830",0.02%
SICHUAN CHUANTOU ENERGY CO-A,BP3R4Y4,"19,045","72,276",0.00%
SICHUAN KELUN PHARMACEUTIC-A,BD5CL08,"15,031","98,974",0.00%
SIEMENS A G ORD,5727973,142,"44,779",0.00%
SIEMENS ENERGY AG SIEMENS ENERGY AG,BMTVQK9,146,"12,304",0.00%
SIEMENS HEALTHINEERS AG,BD594Y4,64,"5,506",0.00%
SIEYUAN ELECTRIC CO LTD-A,BD5C7M2,64,"1,022",0.00%
SIG GROUP AG,BD5GN60,302,"9,613",0.00%
SIGMA COMPANY LIMITED SIG,BF13K02,"408,961","1,071,479",0.05%
SIKA AG-BR,BF2DSG3,37,"14,359",0.00%
SILEX SYSTEMS LIMITED NPV,6111735,"47,079","237,751",0.01%
SIMON PROPERTY GROUP INC COM USD0.0001,2812452,64,"17,899",0.00%
SIMS LTD,B0LCW75,"117,438","1,395,169",0.07%
SINGAPORE AIRLINES LTD,6811734,137,"1,043",0.00%
SINGAPORE EXCHANGE LTD,6303866,278,"4,199",0.00%
SINGAPORE TECH ENGINEERING,6043214,48,264,0.00%
SINGAPORE TELECOMMUNICATIONS,B02PY11,"2,111","7,699",0.00%
SINO BIOPHARMACEUTICAL,B00XSF9,"535,341","356,187",0.02%
SINO LAND CO,6810429,335,547,0.00%
SIRIUS XM HOLDINGS INC,BQWS627,250,"9,223",0.00%
SISTEMA PJSC FC,B5B6XH9,"1,936",0,0.00%
SITC INTERNATIONAL HOLDINGS,B61X7R5,265,"1,141",0.00%
SITEMINDER LTD,BLH35X6,"2,524","15,244",0.00%
SITIOS LATINOAMERICA SAB DE,BNTFDQ3,134,35,0.00%
SITIOS LATINOAMERICA SA-RTS29NOV2024,MX01LA080009 (ISIN),134,0,0.00%
SK HYNIX INC,6450267,"17,911","3,417,291",0.17%
SK KAKEN CO LTD NPV,6826578,"1,179","114,300",0.01%
SK TELECOM CO LTD ORD,6224871,"5,422","328,364",0.02%
SKANDINAVISKA ENSKILDA BAN-A SHS A,4813345,308,"6,823",0.00%
SKANSKA AB-B SHS,7142091,35,"1,176",0.00%
SKF AB-B SHARES,B1Q3J35,41,"1,252",0.00%
SKILLSOFT CORP,BMCZQ19,"6,064","234,682",0.01%
SKYCITY ENTERTAINMENT GROUP,6151311,"317,730","416,226",0.02%
SKYWORKS SOLUTIONS INC COM,2961053,38,"5,400",0.00%
SL GREEN REALTY CORP,BPGKM57,"1,474","161,710",0.01%
SMARTGROUP CORP LTD SMARTGROUP CORP LTD,BNB5WS6,"3,108","24,148",0.00%
SMARTONE TELECOMM HLDG ORD,6856995,"23,610","20,274",0.00%
SMC CORPORATION,6763965,11,"7,254",0.00%
SMITH & NEPHEW PLC -NEW,922320,172,"3,444",0.00%
SMITH (A.O.) CORP COM USD1,2816023,"1,910","210,453",0.01%
SMITHS INDUSTRIES PLC,B1WY233,37,"1,302",0.00%
SMUCKER J M CO COM NEW,2951452,24,"4,312",0.00%
SMURFIT WESTROCK PLC,BRK49M5,121,"10,559",0.00%
SNAM SPA,7251470,521,"3,728",0.00%
SNAP INC - A SNAP,BD8DJ71,196,"3,417",0.00%
SNAP ON INC COM,2818740,8,"4,498",0.00%
SNOWFLAKE INC-CLASS A,BN134B7,56,"14,083",0.00%
SOCIETE GENERALE,5966516,143,"6,494",0.00%
SODEXHO ALLIANCE SA SODEXHO ALLIANCE SA,7062713,16,"2,084",0.00%
SOFINA NPV,4820301,2,675,0.00%
SOFTBANK CORP,BF5M0K5,"5,865","11,989",0.00%
SOFTBANK GROUP CORP,6770620,203,"19,156",0.00%
S-OIL CORPORATION,6406055,"3,872","232,783",0.01%
SOLLERS PJSC SVAV,7425305,"1,171",0,0.00%
SOLVENTUM CORP-W/I,BMTQB43,30,"3,167",0.00%
SOMPO HOLDINGS INC,B62G7K6,224,"9,472",0.00%
SONIC HEALTHCARE LTD,6821120,"16,888","456,146",0.02%
Sonova Holding AG,7156036,947,"500,221",0.02%
SONY GROUP CORP,6821506,"10,226","354,043",0.02%
SOOCHOW SECURITIES CO LTD-A,BP3R6Z9,"15,019","25,772",0.00%
SOUTH32 LTD S32,BWSW5D9,"760,024","2,584,082",0.13%
SOUTHERN CO COM,2829601,214,"28,394",0.00%
SOUTHWEST AIRLS CO COM,2831543,19,"1,024",0.00%
SPARK NEW ZEALAND LTD,6881500,"115,419","310,476",0.02%
SPARTAN RESORCES LTD/AUSTRA,BS2L471,"266,264","375,432",0.02%
SPIRAX GROUP PLC,BWFGQN1,11,"1,492",0.00%
SPOTIFY TECHNOLOGY SA SPOT,BFZ1K46,"1,801","1,301,110",0.06%
SQUARE ENIX HOLDINGS CO LTD,6309262,"1,085","68,534",0.00%
SS&C TECHNOLOGIES HOLDINGS,B58YSC6,61,"7,432",0.00%
SSE PLC,790873,231,"7,488",0.00%
ST JAMES'S PLACE CAPITAL PLC ST JAMES'S,766937,"23,048","404,662",0.02%
STANDARD CHARTERED PLC,408284,609,"12,186",0.00%
STANDARDAERO INC,US85423L1035 (ISIN),700,"28,003",0.00%
STANLEY BLACK & DECKER INC,B3Q2FJ4,28,"3,690",0.00%
STANMORE COAL LTD NPV,B4KDPZ6,"40,165","120,897",0.01%
STANTEC INC COM NPV,2854238,23,"2,903",0.00%
STAR ENTERTAINMENT GRP LTD,BD5ZR98,-459,-87,0.00%
STARBUCKS CORP COM,2842255,"2,841","418,735",0.02%
STATE BANK OF INDIA,BSQCB24,"1,334","20,005",0.00%
STATE STR CORP COM,2842040,65,"10,312",0.00%
STEADFAST GROUP LTD NPV,BCT5FD7,"21,413","124,198",0.01%
STEEL DYNAMICS INC COM,2849472,997,"183,648",0.01%
STELLANTIS NV,BMD8F98,"3,147","66,544",0.00%
STELLANTIS NV,BMD8KX7,443,"9,327",0.00%
STERIS PLC,BFY8C75,16,"5,425",0.00%
STMICROELECTRONICS NV,5962332,140,"5,678",0.00%
STOCKLAND NPV (STAPLED),6850856,"196,628","943,812",0.05%
STORA ENSO OYJ-R SHS,5072673,76,"1,237",0.00%
STRAUMANN HOLDING AG-REG,BQ7ZV06,24,"4,810",0.00%
STRIKE ENERGY LTD NPV,B01NQF4,"179,794","37,757",0.00%
STRYKER CORP COM,2853688,69,"40,138",0.00%
SUBARU CORP,6356406,101,"2,941",0.00%
SUMEC CORP LTD-A,BMF4S06,"2,525","5,166",0.00%
SUMITOMO CORPORATION,6858946,234,"8,229",0.00%
SUMITOMO ELECTRIC INDS ORD,6858708,120,"3,515",0.00%
SUMITOMO FORESTRY CO LTD,6858861,"2,744","149,281",0.01%
SUMITOMO METAL MINING CO LTD,6858849,44,"1,627",0.00%
SUMITOMO MITSUI FINANCIAL GR,6563024,"4,928","190,628",0.01%
SUMITOMO MITSUI TRUST GROUP,6431897,"4,001","151,800",0.01%
SUMITOMO OSAKA CEMENT CO LTD,6858548,"1,873","63,837",0.00%
SUMITOMO REALTY & DEVELOPMNT,6858902,59,"2,975",0.00%
SUN COMMUNITIES INC COM USD0.01,2860257,21,"4,190",0.00%
SUN CORP,6507118,"2,057","207,775",0.01%
SUN HUNG KAI PROPERTIES,6859927,256,"3,972",0.00%
SUN LIFE FINANCIAL INC,2566124,128,"12,246",0.00%
SUNCOR ENERGY INC COM,B3NB1P2,"3,409","196,440",0.01%
SUNCORP GROUP LTD,6585084,"93,506","1,777,553",0.09%
SUNGROW POWER SUPPLY CO LT-A,BD5CGB4,"3,138","50,963",0.00%
SUNTORY BEVERAGE & NPV,BBD7Q84,50,"2,580",0.00%
SUNWODA ELECTRONIC CO LTD-A,BD5CCV6,"1,021","5,011",0.00%
SUPER MICRO COMPUTER INC,US86800U3023 (ISIN),112,"5,529",0.00%
SUPER RETAIL GROUP LTD,B01C7R0,"12,093","183,567",0.01%
SUPERLOOP LTD SLC,BYPC6V1,"88,495","193,804",0.01%
SUZUKI MOTOR CORPORATION,6865504,295,"5,429",0.00%
SVB FINANCIAL GROUP COM USD0.001,2808053,106,1,0.00%
SVENSKA CELLULOSA AB-B SHS,B1VVGZ5,146,"3,001",0.00%
SVENSKA HANDELSBANKEN-A,BXDZ9Q1,459,"7,667",0.00%
SVITZER A/S,BPXW7F1,43,"2,179",0.00%
SWATCH GROUP AG/THE-BR,7184725,3,799,0.00%
SWEDBANK AB - A SHARES,4846523,226,"7,211",0.00%
SWEDISH ORPHAN BIOVITRUM AB,B1CC9H0,71,"3,313",0.00%
SWIRE PACIFIC LTD  'A',6867748,70,"1,031",0.00%
SWIRE PACIFIC LTD 'B',6867760,"27,569","64,200",0.00%
SWISS LIFE HOLDING AG-REG,7437805,7,"8,352",0.00%
SWISS PRIME SITE-REG CHF25.60(REGD),B083BH4,11,"1,999",0.00%
SWISS RE AG,B545MG5,59,"13,776",0.00%
SWISSCOM AG ORD SHS(REGD),5533976,7,"6,270",0.00%
SYENSQO SA,BPSLYH4,18,"2,136",0.00%
SYLVANIA PLATINUM LTD,B3V5PR6,"59,847","50,602",0.00%
SYMBOTIC INC,BPG82M8,"6,692","256,252",0.01%
SYMRISE AG NPV (BR),B1JB4K8,28,"4,831",0.00%
SYNCHRONY FINANCIAL SYF,BP96PS6,"4,747","498,318",0.02%
SYNOPSYS INC COM,2867719,"1,029","806,632",0.04%
SYNTHOMER PLC,BNTVWJ7,"14,479","47,153",0.00%
SYRAH RESOURCES LTD NPV,B23HV20,"413,700","84,809",0.00%
SYSCO CORP COM,2868165,"5,333","658,558",0.03%
SYSMEX CORPORATION SHS,6883807,124,"3,726",0.00%
T HASEGAWA CO LTD NPV,6899268,"1,169","37,293",0.00%
T ROWE PRICE GROUP INC COM,2702337,45,"8,243",0.00%
T&D HOLDINGS INC,6744294,113,"3,386",0.00%
TABCORP HOLDINGS LIMITED,6873262,"264,170","149,256",0.01%
TAISEI CORPORATION,6870100,42,"2,885",0.00%
TAIWAN SEMICONDUCTOR MANUFAC,6889106,"114,989","6,089,699",0.30%
TAIWAN SEMICONDUCTOR-SP ADR,2113382,"12,515","3,992,056",0.19%
TAKEDA PHARMACEUTICAL CO LTD,6870445,287,"12,325",0.00%
TAKE-TWO INTERACTIVE S COM,2122117,30,"8,954",0.00%
TALANX AG TALANX AG,B8F0TD6,-14,"-1,896",0.00%
TAMBURI INVESTMENT PARTNERS EUR0.52,B0NN179,"19,616","275,250",0.01%
TANDEM DIABETES CARE INC TNDM,BF3W461,"9,624","559,919",0.03%
TANGSHAN PORT GROUP CO LTD-A,BP3R9F0,"28,286","29,310",0.00%
TANGSHAN SANYOU CHEMICAL I-A,BP3RB98,"1,568","1,863",0.00%
TARGA RESOURCES CORP COM USD0.001,B55PZY3,30,"8,551",0.00%
TARGET CORP COM,2259101,92,"20,048",0.00%
TATA CONSULTANCY SVS LTD,B01NPJ1,"21,198","1,637,486",0.08%
TAV HAVALIMANLARI HOLDING AS TRY1,B1RMFT9,"4,791","59,957",0.00%
TAYLOR WIMPEY PLC,878230,350,863,0.00%
TC ENERGY CORP,BJMY6G0,201,"15,106",0.00%
TCL CORP-A,BD5CP28,"2,763","3,057",0.00%
TCS GROUP HLDG PLC GDR EACH REPR 1 A REG,BF233S0,"3,996",0,0.00%
TDK CORP TDK CORP,6869302,310,"6,603",0.00%
TE CONNECTIVITY PLC,BRC3N84,64,"14,799",0.00%
TECHNOLOGY ONE LIMITED NPV(POST RECON),6302410,"52,801","1,653,197",0.08%
TECHTRONIC INDUSTRIES CO,B0190C7,"18,709","398,726",0.02%
TECK RESOURCES LTD-CLS B,2879327,"1,289","84,335",0.00%
TEEJAY LANKA PLC,B5ZXWL3,"92,174","26,624",0.00%
TELE2 AB-B SHS,B97C733,-23,-372,0.00%
TELECOM ITALIA EUR0.55,7634394,"3,840","1,584",0.00%
TELEDYNE TECHNOLOGIES INC COM USD0.01,2503477,10,"7,160",0.00%
TELEFLEX INC COM,2881407,7,"2,128",0.00%
TELEFONICA SA EUR1,5732524,946,"6,229",0.00%
TELENOR ASA,4732495,182,"3,286",0.00%
TELEPERFORMANCE EUR2.50,5999330,10,"1,430",0.00%
TELEVISION BROADCASTS LTD,B87ZDH1,"23,621","14,881",0.00%
TELIA CO AB,5978384,166,743,0.00%
TELIX PHARMACEUTICALS LTD TLX,BF7M092,"48,039","1,182,231",0.06%
TELKOM INDONESIA PERSERO TBK,BD4T6W7,"4,905,891","1,334,113",0.06%
TELSTRA CORP LTD SHS,6087289,"1,576,717","6,322,636",0.31%
TELUS CORP COM WHEN ISSUE,2381093,44,974,0.00%
TEMENOS AG - REG,7147892,8,967,0.00%
TEMPLE & WEBSTER GROUP LTD TPW,BZ1MWM5,-17,-222,0.00%
TENARIS SA,BMHVLR3,"3,177","96,027",0.00%
TENCENT HOLDINGS LTD,BMMV2K8,"40,187","3,484,287",0.17%
TENCENT HOLDINGS LTD-UNS ADR TCEHY,B3F2DZ7,"4,296","368,966",0.02%
TERADYNE INC COM,2884183,33,"6,773",0.00%
TERNA SPA SHS,B01BN57,265,"3,380",0.00%
TERNIUM SA-SPONSORED ADR ADR EACH REPR 1,B0XGGY0,"4,910","230,617",0.01%
TERUMO CORP,6885074,245,"7,715",0.00%
TESCO PLC,BLGZ986,"26,222","195,351",0.01%
TESLA INC,B616C79,"3,620","2,360,978",0.11%
TEVA PHARMACEUTICAL IN ADR,2883878,201,"7,164",0.00%
TEXAS INSTRS INC COM,2885409,194,"58,745",0.00%
TEXAS PACIFIC LAND CORP,BM99VY2,55,"98,509",0.00%
TFI INTERNATIONAL INC,BDRXBF4,15,"3,178",0.00%
THAI BEVERAGE PCL THB1,B15F664,"797,563","514,621",0.03%
THAI UNION GROUP PCL F-TU,BYTBHT9,"538,941","331,895",0.02%
THANACHART CAPITAL-FOREIGN,BF5DGN3,"14,932","35,722",0.00%
THE CAMPBELL'S COMPANY,2162845,38,"2,545",0.00%
THERMO FISHER SCIENTIFIC INC,2886907,881,"739,935",0.04%
THOMSON-REUTERS CORP,BPLLTY3,32,"8,268",0.00%
THOR INDUSTRIES INC,2889876,376,"58,046",0.00%
TIANMA MICROELECTRONICS-A,BD5CKM3,"31,136","61,854",0.00%
TIANSHAN ALUMINUM GROUP CO-A,BMQBT81,790,"1,368",0.00%
TIDEWATER INC TDW,BDFGDQ0,"1,143","100,981",0.00%
TietoEVRY Oyj,5479702,"11,562","329,112",0.02%
TIME DOTCOM COM MYR1,6336538,"24,425","41,376",0.00%
TINGYI (CAYMAN ISLN) HLDG CO,6903556,"30,747","64,696",0.00%
TINY LTD,BRJPGZ1,"55,469","101,537",0.00%
TIS INC,B2Q4CR0,20,753,0.00%
TITAN CO LTD,6139340,"6,244","383,162",0.02%
TJX COS INC NEW COM,2989301,"4,558","889,459",0.04%
TMK PJSC TRMK,B590TG4,"21,636",0,0.00%
T-MOBILE US INC,B94Q9V0,109,"38,965",0.00%
TMX GROUP LTD COM NPV,B8KH5G7,66,"3,299",0.00%
TOAST INC-CLASS A,BP6D7B7,52,"3,041",0.00%
TODA CORPORATION,6893884,"5,862","57,983",0.00%
TOEI ANIMATION CO LTD,6301871,396,"14,375",0.00%
TOEI CO LTD ORD,6895181,"3,380","203,573",0.01%
TOHO CO LTD TOHO CO LTD,6895200,7,412,0.00%
TOKIO MARINE HOLDINGS INC,6513126,355,"20,877",0.00%
TOKYO CEMENT LANKA-NON VOTIN,B0G5FY7,"174,826","58,690",0.00%
TOKYO ELECTRIC POWER CO HOLDINGS INC,6895404,294,"1,437",0.00%
TOKYO ELECTRON LIMITED,6895675,105,"26,160",0.00%
TOKYO GAS CO LTD,6895448,86,"3,858",0.00%
TOKYU CORPORATION,6896548,100,"1,736",0.00%
TOPBUILD CORP-W/I,BZ0P3W2,208,"104,356",0.01%
TOPPAN HOLDINGS INC,6897024,"4,387","189,761",0.01%
TORAY INDUSTRIES INC,6897143,402,"4,133",0.00%
TORO CO COM,2897040,"3,375","436,628",0.02%
TOROMONT INDUSTRIES LTD COM STK NPV,2897103,19,"2,366",0.00%
TORONTO DOMINION BK ON COM NEW,2897222,351,"30,149",0.00%
TOSEI CORP NPV,6735823,"11,514","297,942",0.01%
TOTALENERGIES SE,B15C557,461,"41,115",0.00%
TOTO LIMITED ORD,6897466,28,"1,114",0.00%
TOURMALINE OIL CORP COM NPV,B3QJ0H8,57,"4,221",0.00%
TOYO SEIKAN GROUP HOLDINGS LTD,6900267,"10,046","248,449",0.01%
TOYOTA INDUSTRIES CORP,6900546,"2,152","284,498",0.01%
TOYOTA MOTOR CORP,6900643,"11,129","359,812",0.02%
TOYOTA TSUSHO CORP,6900580,135,"3,919",0.00%
TPG TELECOM LTD TPG TELECOM LTD,BMB2257,"308,648","1,385,828",0.07%
TRACTOR SUPPLY COMPANY COM USD0.008,2900335,"5,258","450,587",0.02%
TRADE DESK INC/THE -CLASS A TTD,BD8FDD1,"8,336","1,582,298",0.08%
TRADEWEB MARKETS INC-CLASS A TW,BJXMVK2,"1,932","408,572",0.02%
TRANE TECHNOLOGIES PLC,BK9ZQ96,52,"30,895",0.00%
TRANSOCEAN LTD,B3KFWW1,"9,348","56,619",0.00%
TRANSUNION TRU,BYMWL86,"1,994","298,645",0.01%
Transurban Group,6200882,"74,783","1,001,342",0.05%
TRAVELERS COS INC/THE,2769503,49,"19,077",0.00%
TREASURY WINE ESTATES LTD,B61JC67,"176,752","2,002,595",0.10%
TRELLEBORG AB-B SHS SER'B'NPV,4902384,47,"2,578",0.00%
TREND MICRO INCORPORATED,6125286,31,"2,725",0.00%
TRIMBLE LTD,2903958,41,"4,722",0.00%
TRINA SOLAR CO LTD-A,BP91P03,"4,625","19,637",0.00%
TRIP.COM GROUP LTD,BK1K3N2,"5,628","624,125",0.03%
TRIPLE FLAG PRECIOUS MET,BJ171P4,"3,428","83,150",0.00%
TRUIST FINANCIAL CORP,BKP7287,258,"18,068",0.00%
TRUPANION INC TRUP,BP3YM85,"1,142","88,897",0.00%
TRYG A/S,BXDZ972,61,"2,070",0.00%
"TSUTSUMI JEWELRY CO.,LTD. TSUTSUMI JEWEL",6907150,"1,696","38,579",0.00%
TUAS LTD,BM94P78,"5,408","34,395",0.00%
TULLOW OIL PLC SHS,150080,"146,706","63,624",0.00%
TURACO GOLD LTD,BMCC5V3,"12,116","3,090",0.00%
TWILIO INC -A,BD6P5Q0,31,"5,480",0.00%
TYLER TECHNOLOGIES INC COM USD0.01,2909644,361,"336,032",0.02%
TYSON FOODS INC-CL A CL A,2909730,54,"4,976",0.00%
UBER TECHNOLOGIES INC UBER,BK6N347,380,"37,050",0.00%
UBS GROUP AG UBSG,BRJL176,"13,884","686,160",0.03%
UCB SA NPV,5596991,28,"8,926",0.00%
UDR INC COM USD0.01,2727910,71,"5,000",0.00%
U-HAUL HOLDING CO,BP0VMC3,15,"1,576",0.00%
ULTA SALON COSMETICS & FRAGR COM STK USD,B28TS42,12,"8,386",0.00%
ULTRATECH CEMENT LTD,B01GZF6,"1,439","310,194",0.02%
UNIBAIL - RODAMCO-WESTFIELD,BF2PQ09,31,"3,736",0.00%
UNIBAIL-RODAMCO-WTFIELD-CDI,BDDR365,"4,086","24,601",0.00%
UNI-CHARM CORPORATION UNI-CHARM CORPORAT,6911485,292,"3,903",0.00%
UNICREDIT SPA UCGM,BYMXPS7,356,"22,925",0.00%
UNILEVER PLC,B10RZP7,"12,179","1,120,398",0.05%
UNILEVER PLC,BLRB262,20,"1,858",0.00%
UNION PAC CORP COM,2914734,552,"203,470",0.01%
UNITED OVERSEAS BANK,6916781,233,"10,002",0.00%
UNITED PARCEL SERVICE CL B,2517382,152,"30,874",0.00%
UNITED RENTALS INC COM,2134781,13,"15,318",0.00%
UNITED THERAPEUTICS CORP COM STK USD0.01,2430412,9,"5,099",0.00%
UNITED UTILITIES GROUP PLC,B39J2M4,180,"3,834",0.00%
UNITEDHEALTH GROUP INC,2917766,"1,021","833,943",0.04%
UNIVERSAL HEALTH SERVICES-B CLASS'B'COM,2923785,14,"4,079",0.00%
UNIVERSAL MUSIC GROUP BV,BNZGVV1,"7,066","292,136",0.01%
UNIVERSAL SCIENTIFIC INDUS-A,BP3R4F5,"20,360","73,908",0.00%
UNIVERSAL STORE HOLDINGS LTD,BMCK9H1,"19,603","168,195",0.01%
UPM-KYMMENE OYJ,5051252,"2,503","111,167",0.01%
UPTAKE TECHNOLOGIES INC CLASS C COMMON S,MFSS000000312163,"22,292",0,0.00%
US BANCORP COM NEW,2736035,297,"22,971",0.00%
USHIO INC,6918981,"4,459","97,597",0.00%
VALARIS LTD,BMY0YX0,"1,845","131,828",0.01%
VALERO ENERGY CORP NEW COM,2041364,69,"13,757",0.00%
VALLOUREC SA,BLGWF90,"2,239","61,487",0.00%
VALMET CORP,BH6XZT5,992,"38,689",0.00%
VANGUARD AUST SHARES IDX ETF,AU000000VAS1 (ISIN),"9,785","995,467",0.05%
VARUN BEVERAGES LTD,BQB80M6,"39,966","481,386",0.02%
VAT GROUP AG,BYZWMR9,5,"3,165",0.00%
VAULT MINERALS LTD,BSML1B4,"465,722","153,688",0.01%
VEECO INSTRUMENTS INC COM STK USD0.01,2938422,449,"19,453",0.00%
VEEVA SYSTEMS INC-CLASS A COM USD0.00001,BFH3N85,876,"297,635",0.01%
VENTAS INC COM USD0.25,2927925,78,"7,459",0.00%
VENTIA SERVICES GROUP PTY LT,BNV08F0,"3,993","14,376",0.00%
VERALTO CORP-W/I,BPGMZQ5,42,"6,921",0.00%
VERBUND AG,4661607,6,650,0.00%
VERISIGN INC COM,2142922,"3,901","1,304,107",0.06%
VERISK ANALYTICS INC-CLASS A COM USD0.00,B4P9W92,772,"343,372",0.02%
VERIZON COMMUNICATIONS COM,2090571,899,"58,042",0.00%
VERRA MOBILITY CORP,BFXX5X8,"10,182","397,634",0.02%
VERTEX PHARMACEUTICALS INC COM USD0.01,2931034,53,"34,452",0.00%
VERTIV HOLDINGS CO,BL3LWS8,81,"14,861",0.00%
VESTAS WIND SYSTEMS A/S,BN4MYF5,221,"4,862",0.00%
VIATRIS INC-W/I,BMWS3X9,347,"6,978",0.00%
VICI PROPERTIES INC,BYWH073,"1,069","50,443",0.00%
VICINITY CENTERS VCX,BY7QXS7,"245,787","516,152",0.03%
VICTORIAN PLUMBING PLC,BNVVHD4,"109,717","205,954",0.01%
VICTORY GIANT TECHNOLOGY -A,BD76164,"3,979","36,848",0.00%
VIETNAM DAIRY PRODUCT CO VND10000,B16GLK5,"61,186","245,852",0.01%
VINCI SA,B1XH026,94,"15,677",0.00%
VIPSHOP HOLDINGS LTD - ADS,B3N0H17,"3,625","78,865",0.00%
VISA INC-CLASS A SHARES COM STK USD0.000,B2PZN04,"9,137","4,664,139",0.23%
VISTA ENERGY SAB DE CV,US92837L1098 (ISIN),"1,936","169,236",0.01%
VISTRA CORP,BZ8VJQ8,74,"16,568",0.00%
VISTRY GROUP PLC,185929,"10,840","125,419",0.01%
VITESSE ENERGY INC-W/I,BMBX3P7,210,"8,482",0.00%
VIVA ENERGY GROUP LTD VEA,BYQM3N1,"565,923","1,488,377",0.07%
VODAFONE GROUP PLC,BH4HKS3,"4,883","6,747",0.00%
VOLKSWAGEN AG-PREF,5497168,46,"6,820",0.00%
VOLTRONIC POWER TECHNOLOGY VOLTRONIC POW,B96HCH8,"2,683","245,868",0.01%
VOLVO AB-A SHS VOLVO AB-A SHS,B1QH7Y4,-87,"-3,445",0.00%
VOLVO AB-B SHS,B1QH830,359,"14,088",0.00%
VONOVIA SE,BBJPFY1,123,"6,048",0.00%
VULCAN MATLS CO COM,2931205,25,"10,180",0.00%
WABTEC CORP,2955733,37,"11,365",0.00%
WALGREENS BOOTS ALLIANCE INC WBA,BTN1Y44,149,"2,246",0.00%
WALMART DE MEXICO-SER V SER'V'NPV,BW1YVH8,"32,772","139,731",0.01%
WALMART INC,2936921,895,"130,534",0.01%
WAREHOUSES DE PAUW SCA,BK8VQD9,48,"1,535",0.00%
WARNER BROS DISCOVERY INC,BM8JYX3,436,"7,442",0.00%
WARRIOR MET COAL INC HCC,BF2X272,"2,949","258,311",0.01%
WASHINGTON H. SOUL PATTINSON NPV,6821807,"11,134","381,006",0.02%
WASTE CONNECTIONS INC,BYVG1F6,47,"13,027",0.00%
WASTE MGMT INC DEL COM,2937667,84,"27,533",0.00%
WATCHES OF SWITZERLAND GROUP,BJDQQ87,"4,897","55,416",0.00%
WATERS CORP COM,2937689,563,"337,092",0.02%
WATSCO INC COM USD0.50,2943039,7,"5,476",0.00%
WAYPOINT REIT LTD WPR,BLBQ285,"131,416","306,199",0.01%
WEB TRAVEL GROUP LTD,6015815,"96,774","444,192",0.02%
WEBJET GROUP LTD,BSY5JG5,"67,147","58,418",0.00%
WEC ENERGY GROUP INC,BYY8XK8,63,"9,590",0.00%
WEG SA COM NPV,2945422,"21,944","302,740",0.01%
WEICHAI POWER CO LTD-A,BD5CQ03,"19,579","59,009",0.00%
WELLS FARGO & CO NEW COM,2649100,"4,943","560,773",0.03%
WELLTOWER INC HCN,BYVYHH4,137,"27,933",0.00%
WESFARMERS LIMITED,6948836,"33,946","2,428,150",0.12%
WEST AFRICAN RESOURCES LTD WAF,B4KBBN0,-223,-320,0.00%
WEST FRASER TIMBER CO LTD COM NPV,2951098,"1,578","220,771",0.01%
WEST JAPAN RAILWAY CO,6957995,111,"3,184",0.00%
WEST PHARMACEUTICAL SERVICES COM USD0.25,2950482,12,"6,589",0.00%
WESTERN DIGITAL CORP COM,2954699,56,"5,374",0.00%
WESTERN MINING CO -A,BP3R7X4,"20,213","71,462",0.00%
WESTGOLD RESOURCES LTD,BYVQ673,"31,786","89,954",0.00%
WESTLAKE CORP,B01ZP20,8,"1,494",0.00%
WESTON GEORGE LTD COM,2956662,18,"4,402",0.00%
WESTPAC BANKING CORPORATION,6076146,"201,416","6,509,764",0.32%
WETHERSPOON (J.D.) PLC ORD GBP0.02,163895,"12,097","146,814",0.01%
WEYERHAEUSER CO WY,2958936,450,"20,441",0.00%
WH GROUP LTD,BLLHKZ1,"198,057","247,493",0.01%
WHARF HOLDINGS LTD,6435576,432,"1,965",0.00%
WHARF REAL ESTATE INVESTMENT 1997,BF0GWS4,549,"2,267",0.00%
WHEATON PRECIOUS METALS CORP,BF13KN5,84,"7,674",0.00%
WHITBREAD PLC SHS,B1KJJ40,18,"1,052",0.00%
WHITEHAVEN COAL LTD NPV,B1XQXC4,"71,465","443,083",0.02%
WILL SEMICONDUCTOR CO LTD-A,BK947V2,"2,342","53,790",0.00%
WILLIAMS COS INC DEL COM,2967181,237,"20,722",0.00%
WILLIAMS-SONOMA INC COM,2967589,19,"5,759",0.00%
WILLIS TOWERS WATSON PLC,BDB6Q21,207,"104,584",0.01%
WILMAR INTERNATIONAL LTD SGD0.5,B17KC69,271,996,0.00%
WINGTECH TECHNOLOGY CO LTD-A,BK4PZC7,"2,132","18,190",0.00%
WISE PLC - A,BL9YR75,"13,902","299,773",0.01%
WISETECH GLOBAL LTD WTC,BZ8GX83,"18,665","2,259,543",0.11%
WIX.COM LTD,BFZCHN7,11,"3,882",0.00%
