Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
BELLEVUE GOLD LTD BGL,BFZ31P0,"217,139","244,282",0.01%
Beluga Group PJSC,B57QZY4,"7,123",0,0.00%
BENDIGO AND ADELAIDE BANK,6091280,"35,220","461,382",0.02%
BENTLEY SYSTEMS INC-CLASS B BSY,BMC1PR6,51,"3,883",0.00%
BERKELEY GROUP HOLDINGS/THE,BP0RGD0,93,"7,307",0.00%
BERKLEY W R CORP COM,2093644,55,"5,236",0.00%
BERKSHIRE HATHAWAY INC-CL B CLASS'B'COM,2073390,"1,047","766,161",0.04%
BEST BUY INC COM,2094670,34,"4,741",0.00%
BESTECHNIC SHANGHAI CO LTD-A,BNHPNS7,144,"10,276",0.00%
BETMAKERS TECHNOLOGY GROUP L BET,BJDXBQ1,"205,855","21,615",0.00%
BHARTI AIRTEL LIMITED,6442327,"42,294","1,266,809",0.06%
BHP GROUP LTD,6144690,"450,869","17,831,865",0.87%
BID CORP LTD BID,BZBFKT7,"4,341","159,997",0.01%
BIOGEN INC,2455965,28,"6,834",0.00%
BIOMARIN PHARMACEUTICAL INC COM USD0.001,2437071,42,"4,470",0.00%
BIOMERIEUX,BF0LBX7,15,"2,528",0.00%
BIONTECH SE-ADR,BK6H543,"3,488","641,938",0.03%
BIO-RAD LABORATORIES-A,2098508,319,"169,069",0.01%
BIO-TECHNE CORP,BSHZ3Q0,63,"7,326",0.00%
BIO-THERA SOLUTIONS LTD-A,CN1000001000 (ISIN),947,"4,036",0.00%
BIZLINK HOLDING INC 3665,B5SG8Y4,"12,904","389,048",0.02%
BJ'S WHOLESALE CLUB HOLDINGS BJ,BFZNZF8,"2,570","370,815",0.02%
BKW AG CHF2.50,B76D410,7,"1,797",0.00%
BLACKROCK FUNDING INC/DE,US09290D1019 (ISIN),29,"48,415",0.00%
BLACKSTONE GROUP INC/THE,BKF2SL7,138,"38,454",0.00%
BLOCK INC,BYNZGK1,"2,864","393,082",0.02%
