Hostplus Superannuation Fund,,,,
HC Defensive Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
TEMENOS AG - REG,7147892,0,10,0.00%
TEMPLE & WEBSTER GROUP LTD TPW,BZ1MWM5,0,-2,0.00%
TENARIS SA,BMHVLR3,33,991,0.00%
TENCENT HOLDINGS LTD,BMMV2K8,270,"23,388",0.04%
TENCENT HOLDINGS LTD-UNS ADR TCEHY,B3F2DZ7,23,"1,976",0.00%
TERADYNE INC COM,2884183,0,72,0.00%
TERNA SPA SHS,B01BN57,3,35,0.00%
TERNIUM SA-SPONSORED ADR ADR EACH REPR 1,B0XGGY0,26,"1,235",0.00%
TERUMO CORP,6885074,3,82,0.00%
TESCO PLC,BLGZ986,271,"2,016",0.00%
TESLA INC,B616C79,37,"24,425",0.05%
TEVA PHARMACEUTICAL IN ADR,2883878,2,76,0.00%
TEXAS INSTRS INC COM,2885409,2,618,0.00%
TEXAS PACIFIC LAND CORP,BM99VY2,1,"1,017",0.00%
TFI INTERNATIONAL INC,BDRXBF4,0,33,0.00%
THAI BEVERAGE PCL THB1,B15F664,"4,272","2,756",0.01%
THAI UNION GROUP PCL F-TU,BYTBHT9,"2,886","1,778",0.00%
THANACHART CAPITAL-FOREIGN,BF5DGN3,154,368,0.00%
THE CAMPBELL'S COMPANY,2162845,0,27,0.00%
THERMO FISHER SCIENTIFIC INC,2886907,9,"7,642",0.01%
THOMSON-REUTERS CORP,BPLLTY3,0,87,0.00%
THOR INDUSTRIES INC,2889876,4,598,0.00%
TIANMA MICROELECTRONICS-A,BD5CKM3,167,331,0.00%
TIANSHAN ALUMINUM GROUP CO-A,BMQBT81,4,7,0.00%
TIDEWATER INC TDW,BDFGDQ0,12,"1,041",0.00%
TietoEVRY Oyj,5479702,119,"3,393",0.01%
TIME DOTCOM COM MYR1,6336538,252,427,0.00%
TINGYI (CAYMAN ISLN) HLDG CO,6903556,317,667,0.00%
TINY LTD,BRJPGZ1,572,"1,047",0.00%
TIS INC,B2Q4CR0,0,8,0.00%
TITAN CO LTD,6139340,33,"2,052",0.00%
TJX COS INC NEW COM,2989301,47,"9,179",0.02%
TMK PJSC TRMK,B590TG4,223,0,0.00%
T-MOBILE US INC,B94Q9V0,1,410,0.00%
TMX GROUP LTD COM NPV,B8KH5G7,1,34,0.00%
TOAST INC-CLASS A,BP6D7B7,1,33,0.00%
TODA CORPORATION,6893884,60,598,0.00%
TOEI ANIMATION CO LTD,6301871,4,148,0.00%
TOEI CO LTD ORD,6895181,35,"2,099",0.00%
TOHO CO LTD TOHO CO LTD,6895200,0,5,0.00%
TOKIO MARINE HOLDINGS INC,6513126,4,220,0.00%
TOKYO CEMENT LANKA-NON VOTIN,B0G5FY7,"1,802",605,0.00%
TOKYO ELECTRIC POWER CO HOLDINGS INC,6895404,3,15,0.00%
TOKYO ELECTRON LIMITED,6895675,1,275,0.00%
TOKYO GAS CO LTD,6895448,1,41,0.00%
TOKYU CORPORATION,6896548,1,18,0.00%
TOPBUILD CORP-W/I,BZ0P3W2,2,"1,076",0.00%
TOPPAN HOLDINGS INC,6897024,45,"1,957",0.00%
TORAY INDUSTRIES INC,6897143,4,43,0.00%
TORO CO COM,2897040,35,"4,502",0.01%
TOROMONT INDUSTRIES LTD COM STK NPV,2897103,0,25,0.00%
TORONTO DOMINION BK ON COM NEW,2897222,4,318,0.00%
TOSEI CORP NPV,6735823,119,"3,071",0.01%
TOTALENERGIES SE,B15C557,5,433,0.00%
TOTO LIMITED ORD,6897466,0,12,0.00%
TOURMALINE OIL CORP COM NPV,B3QJ0H8,1,44,0.00%
TOYO SEIKAN GROUP HOLDINGS LTD,6900267,104,"2,561",0.00%
TOYOTA INDUSTRIES CORP,6900546,22,"2,934",0.01%
TOYOTA MOTOR CORP,6900643,115,"3,724",0.01%
TOYOTA TSUSHO CORP,6900580,1,41,0.00%
TPG TELECOM LTD TPG TELECOM LTD,BMB2257,"3,088","13,867",0.03%
TRACTOR SUPPLY COMPANY COM USD0.008,2900335,54,"4,647",0.01%
TRADE DESK INC/THE -CLASS A TTD,BD8FDD1,86,"16,316",0.03%
TRADEWEB MARKETS INC-CLASS A TW,BJXMVK2,20,"4,213",0.01%
TRANE TECHNOLOGIES PLC,BK9ZQ96,1,325,0.00%
TRANSOCEAN LTD,B3KFWW1,96,584,0.00%
TRANSUNION TRU,BYMWL86,21,"3,080",0.01%
Transurban Group,6200882,749,"10,024",0.02%
TRAVELERS COS INC/THE,2769503,1,201,0.00%
TREASURY WINE ESTATES LTD,B61JC67,"1,769","20,039",0.04%
TRELLEBORG AB-B SHS SER'B'NPV,4902384,0,28,0.00%
TREND MICRO INCORPORATED,6125286,0,28,0.00%
TRIMBLE LTD,2903958,0,50,0.00%
TRINA SOLAR CO LTD-A,BP91P03,25,105,0.00%
TRIP.COM GROUP LTD,BK1K3N2,30,"3,343",0.01%
TRIPLE FLAG PRECIOUS MET,BJ171P4,35,857,0.00%
TRUIST FINANCIAL CORP,BKP7287,3,191,0.00%
TRUPANION INC TRUP,BP3YM85,12,916,0.00%
TRYG A/S,BXDZ972,1,22,0.00%
"TSUTSUMI JEWELRY CO.,LTD. TSUTSUMI JEWEL",6907150,17,398,0.00%
TUAS LTD,BM94P78,54,344,0.00%
TULLOW OIL PLC SHS,150080,"1,512",656,0.00%
TURACO GOLD LTD,BMCC5V3,121,31,0.00%
TWILIO INC -A,BD6P5Q0,0,58,0.00%
TYLER TECHNOLOGIES INC COM USD0.01,2909644,4,"3,466",0.01%
TYSON FOODS INC-CL A CL A,2909730,1,52,0.00%
UBER TECHNOLOGIES INC UBER,BK6N347,4,390,0.00%
UBS GROUP AG UBSG,BRJL176,143,"7,080",0.01%
UCB SA NPV,5596991,0,93,0.00%
UDR INC COM USD0.01,2727910,1,53,0.00%
U-HAUL HOLDING CO,BP0VMC3,0,17,0.00%
ULTA SALON COSMETICS & FRAGR COM STK USD,B28TS42,0,88,0.00%
ULTRATECH CEMENT LTD,B01GZF6,8,"1,661",0.00%
UNIBAIL - RODAMCO-WESTFIELD,BF2PQ09,0,39,0.00%
UNIBAIL-RODAMCO-WTFIELD-CDI,BDDR365,41,246,0.00%
UNI-CHARM CORPORATION UNI-CHARM CORPORAT,6911485,3,41,0.00%
UNICREDIT SPA UCGM,BYMXPS7,4,241,0.00%
UNILEVER PLC,B10RZP7,126,"11,557",0.02%
UNILEVER PLC,BLRB262,0,22,0.00%
UNION PAC CORP COM,2914734,6,"2,108",0.00%
UNITED OVERSEAS BANK,6916781,2,106,0.00%
UNITED PARCEL SERVICE CL B,2517382,2,325,0.00%
UNITED RENTALS INC COM,2134781,0,161,0.00%
UNITED THERAPEUTICS CORP COM STK USD0.01,2430412,0,54,0.00%
UNITED UTILITIES GROUP PLC,B39J2M4,2,40,0.00%
UNITEDHEALTH GROUP INC,2917766,11,"8,632",0.02%
UNIVERSAL HEALTH SERVICES-B CLASS'B'COM,2923785,0,43,0.00%
UNIVERSAL MUSIC GROUP BV,BNZGVV1,73,"3,013",0.01%
UNIVERSAL SCIENTIFIC INDUS-A,BP3R4F5,109,396,0.00%
UNIVERSAL STORE HOLDINGS LTD,BMCK9H1,196,"1,683",0.00%
UPM-KYMMENE OYJ,5051252,26,"1,147",0.00%
UPTAKE TECHNOLOGIES INC CLASS C COMMON S,MFSS000000312163,230,0,0.00%
US BANCORP COM NEW,2736035,3,242,0.00%
USHIO INC,6918981,46,"1,006",0.00%
VALARIS LTD,BMY0YX0,19,"1,359",0.00%
VALERO ENERGY CORP NEW COM,2041364,1,145,0.00%
VALLOUREC SA,BLGWF90,23,634,0.00%
VALMET CORP,BH6XZT5,10,399,0.00%
VANGUARD AUST SHARES IDX ETF,AU000000VAS1 (ISIN),98,"9,961",0.02%
VARUN BEVERAGES LTD,BQB80M6,214,"2,578",0.00%
VAT GROUP AG,BYZWMR9,0,33,0.00%
VAULT MINERALS LTD,BSML1B4,"4,661","1,538",0.00%
VEECO INSTRUMENTS INC COM STK USD0.01,2938422,5,201,0.00%
VEEVA SYSTEMS INC-CLASS A COM USD0.00001,BFH3N85,9,"3,071",0.01%
VENTAS INC COM USD0.25,2927925,1,78,0.00%
VENTIA SERVICES GROUP PTY LT,BNV08F0,40,144,0.00%
VERALTO CORP-W/I,BPGMZQ5,0,73,0.00%
VERBUND AG,4661607,0,7,0.00%
VERISIGN INC COM,2142922,40,"13,445",0.02%
VERISK ANALYTICS INC-CLASS A COM USD0.00,B4P9W92,8,"3,543",0.01%
VERIZON COMMUNICATIONS COM,2090571,9,611,0.00%
VERRA MOBILITY CORP,BFXX5X8,105,"4,099",0.01%
VERTEX PHARMACEUTICALS INC COM USD0.01,2931034,1,363,0.00%
VERTIV HOLDINGS CO,BL3LWS8,1,156,0.00%
VESTAS WIND SYSTEMS A/S,BN4MYF5,2,51,0.00%
VIATRIS INC-W/I,BMWS3X9,4,73,0.00%
VICI PROPERTIES INC,BYWH073,11,522,0.00%
VICINITY CENTERS VCX,BY7QXS7,"2,460","5,166",0.01%
VICTORIAN PLUMBING PLC,BNVVHD4,"1,131","2,123",0.00%
VICTORY GIANT TECHNOLOGY -A,BD76164,21,197,0.00%
VIETNAM DAIRY PRODUCT CO VND10000,B16GLK5,328,"1,317",0.00%
VINCI SA,B1XH026,1,166,0.00%
VIPSHOP HOLDINGS LTD - ADS,B3N0H17,37,813,0.00%
VISA INC-CLASS A SHARES COM STK USD0.000,B2PZN04,94,"48,121",0.09%
VISTA ENERGY SAB DE CV,US92837L1098 (ISIN),10,906,0.00%
VISTRA CORP,BZ8VJQ8,1,175,0.00%
VISTRY GROUP PLC,185929,112,"1,293",0.00%
VITESSE ENERGY INC-W/I,BMBX3P7,2,87,0.00%
VIVA ENERGY GROUP LTD VEA,BYQM3N1,"5,663","14,893",0.03%
VODAFONE GROUP PLC,BH4HKS3,52,71,0.00%
VOLKSWAGEN AG-PREF,5497168,0,71,0.00%
VOLTRONIC POWER TECHNOLOGY VOLTRONIC POW,B96HCH8,14,"1,317",0.00%
VOLVO AB-A SHS VOLVO AB-A SHS,B1QH7Y4,-1,-34,0.00%
VOLVO AB-B SHS,B1QH830,4,148,0.00%
VONOVIA SE,BBJPFY1,1,64,0.00%
VULCAN MATLS CO COM,2931205,0,108,0.00%
WABTEC CORP,2955733,0,120,0.00%
WALGREENS BOOTS ALLIANCE INC WBA,BTN1Y44,2,24,0.00%
WALMART DE MEXICO-SER V SER'V'NPV,BW1YVH8,176,748,0.00%
WALMART INC,2936921,9,"1,375",0.00%
WAREHOUSES DE PAUW SCA,BK8VQD9,0,16,0.00%
WARNER BROS DISCOVERY INC,BM8JYX3,5,79,0.00%
WARRIOR MET COAL INC HCC,BF2X272,30,"2,663",0.00%
WASHINGTON H. SOUL PATTINSON NPV,6821807,111,"3,813",0.01%
WASTE CONNECTIONS INC,BYVG1F6,0,138,0.00%
WASTE MGMT INC DEL COM,2937667,1,290,0.00%
WATCHES OF SWITZERLAND GROUP,BJDQQ87,50,571,0.00%
WATERS CORP COM,2937689,6,"3,477",0.01%
WATSCO INC COM USD0.50,2943039,0,58,0.00%
WAYPOINT REIT LTD WPR,BLBQ285,"1,315","3,064",0.01%
WEB TRAVEL GROUP LTD,6015815,968,"4,445",0.01%
WEBJET GROUP LTD,BSY5JG5,672,585,0.00%
WEC ENERGY GROUP INC,BYY8XK8,1,101,0.00%
WEG SA COM NPV,2945422,118,"1,621",0.00%
WEICHAI POWER CO LTD-A,BD5CQ03,105,316,0.00%
WELLS FARGO & CO NEW COM,2649100,51,"5,799",0.01%
WELLTOWER INC HCN,BYVYHH4,1,293,0.00%
WESFARMERS LIMITED,6948836,340,"24,305",0.04%
WEST AFRICAN RESOURCES LTD WAF,B4KBBN0,-2,-3,0.00%
WEST FRASER TIMBER CO LTD COM NPV,2951098,16,"2,276",0.00%
WEST JAPAN RAILWAY CO,6957995,1,33,0.00%
WEST PHARMACEUTICAL SERVICES COM USD0.25,2950482,0,70,0.00%
WESTERN DIGITAL CORP COM,2954699,1,57,0.00%
WESTERN MINING CO -A,BP3R7X4,108,383,0.00%
WESTGOLD RESOURCES LTD,BYVQ673,318,900,0.00%
WESTLAKE CORP,B01ZP20,0,16,0.00%
WESTON GEORGE LTD COM,2956662,0,46,0.00%
WESTPAC BANKING CORPORATION,6076146,"2,016","65,149",0.12%
WETHERSPOON (J.D.) PLC ORD GBP0.02,163895,125,"1,513",0.00%
WEYERHAEUSER CO WY,2958936,5,212,0.00%
WH GROUP LTD,BLLHKZ1,"1,062","1,327",0.00%
WHARF HOLDINGS LTD,6435576,5,21,0.00%
WHARF REAL ESTATE INVESTMENT 1997,BF0GWS4,6,24,0.00%
WHEATON PRECIOUS METALS CORP,BF13KN5,1,81,0.00%
WHITBREAD PLC SHS,B1KJJ40,0,11,0.00%
WHITEHAVEN COAL LTD NPV,B1XQXC4,723,"4,485",0.01%
WILL SEMICONDUCTOR CO LTD-A,BK947V2,13,288,0.00%
WILLIAMS COS INC DEL COM,2967181,2,218,0.00%
WILLIAMS-SONOMA INC COM,2967589,0,61,0.00%
WILLIS TOWERS WATSON PLC,BDB6Q21,2,"1,081",0.00%
WILMAR INTERNATIONAL LTD SGD0.5,B17KC69,3,11,0.00%
WINGTECH TECHNOLOGY CO LTD-A,BK4PZC7,11,97,0.00%
WISE PLC - A,BL9YR75,143,"3,091",0.01%
WISETECH GLOBAL LTD WTC,BZ8GX83,187,"22,611",0.04%
WIX.COM LTD,BFZCHN7,0,41,0.00%
WOLTERS KLUWER CVA EUR0.12,5671519,25,"6,604",0.01%
WOODSIDE ENERGY GROUP LTD,BMGT167,"1,769","43,519",0.08%
WOOLWORTHS GROUP LTD,6981239,580,"17,671",0.03%
WORKDAY INC-CLASS A COM USD0.001,B8K6ZD1,23,"9,518",0.02%
WORLDLINE SA - W/I WORLDLINE SA - W/I,BNFWR44,0,0,0.00%
WORLEY GROUP LTD SHS,6562474,"2,445","33,498",0.06%
WP CAREY INC COM USD0.001,B826YT8,1,46,0.00%
WPP PLC,B8KF9B4,3,47,0.00%
WSP GLOBAL INC,BHR3R21,0,73,0.00%
WULIANGYE YIBIN CO LTD-A,BD5CPG2,68,"2,096",0.00%
WUXI APPTEC CO LTD-A,BHWLWV4,12,145,0.00%
WYNN RESORTS LTD,2963811,0,25,0.00%
XCEL ENERGY INC COM,2614807,1,149,0.00%
XCMG CONSTRUCTION MACHIN-A,BD5CM27,121,210,0.00%
XERO LTD,B8P4LP4,302,"50,970",0.09%
XIAMEN C & D INC-A,BP3R6L5,100,232,0.00%
XIAMEN FARATRONIC CO LTD-A,BP3RDD6,21,546,0.00%
XI'AN MANARECO NEW MATERIA-A,CNE100005X80 (ISIN),0,3,0.00%
XIAOMI CORP-CLASS B,BG0ZMJ9,857,"6,146",0.01%
XINFENGMING GROUP CO LTD-A,BFB4M98,19,46,0.00%
XINJIANG GOLDWIND SCI&TECH-A,BD5CQ58,46,104,0.00%
XINYI GLASS HOLDING CO LTD,B05NXN7,"1,345","2,207",0.00%
XINYI SOLAR HLDGS,BGQYNN1,"1,700","1,110",0.00%
XYLEM INC COM USD0.01 WI,B3P2CN8,0,93,0.00%
YAKULT HONSHA CO LTD,6985112,0,13,0.00%
YAMAHA MOTOR CO LTD,6985264,2,33,0.00%
YANCOAL AUSTRALIA LTD,B84LB45,133,864,0.00%
YANGZIJIANG SHIPBUILDING NPV,B1VT035,5,17,0.00%
YARA INTERNATIONAL ASA NOK1.7,7751259,0,8,0.00%
YASKAWA ELECTRIC CORP JPY50,6986041,0,17,0.00%
YDUQS PART,BJGV3C2,818,"1,828",0.00%
YEALINK NETWORK TECHNOLOGY-A,BFCCR07,74,628,0.00%
YETI HOLDINGS INC,BGR7KH2,48,"2,958",0.01%
YOKOGAWA ELECTRIC CORP,6986427,0,6,0.00%
YOUCARE PHARMACEUTICAL GRO-A,CNE100005XQ2 (ISIN),1,4,0.00%
YUM BRANDS INC COM,2098876,1,114,0.00%
YUNNAN ALUMINIUM CO LTD-A,BD5CB75,87,259,0.00%
YUNNAN BAIYAO GROUP CO LTD-A,BD5CP95,34,447,0.00%
YUNNAN YUNTIANHUA CO-A,BP3RBJ8,136,667,0.00%
ZALANDO SE ZAL,BQV0SV7,1,44,0.00%
ZEALAND PHARMA A/S DKK1,B0SDJB4,0,-10,0.00%
ZEBRA TECHNOLOGIES CORP-CL A 'A'COM USD0,2989356,5,"3,392",0.01%
ZENKOKU HOSHO CO L NPV,B92MT10,36,"2,078",0.00%
ZENSHO CO LTD NPV,6042608,0,18,0.00%
ZHEJIANG CHINT ELECTRICS-A,BP3R5K7,84,430,0.00%
ZHEJIANG CRYSTAL-OPTECH -A,BD5C9N7,80,393,0.00%
ZHEJIANG DINGLI MACHINERY -A,BYZW440,28,398,0.00%
ZHEJIANG HUAYOU COBALT CO - A,BFF5BV2,16,100,0.00%
ZHEJIANG LONGSHENG GROUP C-A,BP3R4W2,34,76,0.00%
ZHEJIANG MEDICINE CO LTD-A,BP3R9X8,4,16,0.00%
ZHEJIANG NHU CO LTD-A,BD5CH66,52,249,0.00%
ZHEJIANG SEMIR GARMENT CO-A,BD5CM83,223,345,0.00%
ZHEJIANG WEIXING INDUSTRI-A,BHQPRH3,197,613,0.00%
ZHENGZHOU COAL MINING MACH-A,BP3RCS4,30,86,0.00%
ZHENGZHOU YUTONG BUS CO - A,BP3R5T6,113,656,0.00%
ZHONGJI INNOLIGHT CO LTD-A,BFFJRM7,35,961,0.00%
ZHUHAI COSMX BATTERY CO LT-A,CNE100005030 (ISIN),3,9,0.00%
ZIJIN MINING GROUP CO LTD-A,BP3R400,298,993,0.00%
ZIJIN MINING GROUP CO LTD-H,6725299,381,"1,119",0.00%
ZILLOW GROUP INC - C  W/I ZCVVV,BYXJF62,70,"8,331",0.02%
ZIMMER BIOMET HOLDINGS INC,2783815,0,77,0.00%
ZIP CO LTD,BPP1Y77,931,"2,754",0.01%
ZOETIS INC COM USD0.01 CL 'A',B95WG16,1,250,0.00%
ZOOM COMMUNICATIONS INC,BGSP7M9,0,64,0.00%
ZOZO INC,B292RC1,0,18,0.00%
ZSCALER INC,BZ00V34,0,65,0.00%
ZTE CORP-A,BD5CPY0,52,463,0.00%
ZURICH INSURANCE GROUP AG,5983816,0,291,0.00%
Total,,,"6,317,894",11.67%
Unlisted Equity,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Apollo Global Management,,,"29,282",0.05%
Apostle Funds Management,,,"390,120",0.72%
Baillie Gifford Overseas Limited,,,"23,365",0.04%
Blackrock,,,"10,006",0.02%
Blackstone and Co,,,"250,591",0.46%
Citibank Transtition Team,,,439,0.00%
Hosking Partners LLP,,,"1,722",0.00%
Indigo Asset Management,,,12,0.00%
Maverick Capital Ltd.,,,"259,693",0.48%
ORBIS Investment Management Limited,,,"506,870",0.94%
Paradice Investment Management,,,"14,378",0.03%
T Rowe Price,,,"2,518",0.00%
Total,,,"1,488,996",2.75%
Unlisted Property,,,,
Held directly or by associated entities or by PSTs,,,,
Internally managed,,,,
Name/kind of investment item,Address,% of property held,Value (AUD),Weighting (%)
Hostplus Commercial Trust,"Levels 1, 9 & 10,  270 Adelaide Street, Brisbane, QLD 4000",100.00%,549,0.00%
Hostplus Residential PropertyTrust,"173 -175 Phillip Street, Sydney NSW",90.00%,,0.00%
Hostplus Residential PropertyTrust,"54 Bracks St, North Fremantle WA",60.00%,,0.00%
Hostplus Residential PropertyTrust,"64 Peel Street & 9 Cordella St, South Brisbane QLD",60.00%,,0.00%
Hostplus Residential PropertyTrust,"Helensvale, Helensvale QLD",50.00%,,0.00%
Hostplus Residential PropertyTrust,"Moonee Valley, Moonee Valley VIC",72.00%,,0.00%
Hostplus Residential PropertyTrust,,100.00%,"10,618",0.02%
Total,,,"11,167",0.02%
Unlisted Property,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
AMP Capital Investors,,,808,0.00%
BlackRock Investment Management (UK) Limited,,,1,0.00%
Blackstone and Co,,,778,0.00%
Blackstone Real Estate Partners Europe,,,"3,937",0.01%
Charter Hall Funds Management Limited,,,"295,491",0.55%
Chauvel Capital Partners,,,"5,861",0.01%
DEXUS Property Group,,,"24,149",0.04%
Flexstone Partners,,,"6,377",0.01%
Gresham Capital Partners,,,2,0.00%
Invesco Adviser INC NA,,,"46,248",0.09%
ISPT Pty Ltd,,,"177,697",0.33%
Kayne Anderson Capital Advisors LP,,,"172,162",0.32%
Lendlease Investment Management Pte Ltd,,,"1,991",0.00%
Lendlease Real Estate Investments Limited,,,"169,550",0.31%
Nuveen,,,"73,034",0.13%
Pretium Partners,,,"65,528",0.12%
QIC Limited,,,"20,022",0.04%
Total,,,"1,063,636",1.96%
Unlisted Infrastructure,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Adelaide Airport Limited,,,"79,148",0.15%
AMP Capital Investors,,,"41,791",0.08%
ARES Management LLC,,,43,0.00%
Campus Living Funds Management Limited,,,"52,356",0.10%
Colonial First State Infrastructure Holdings Limited,,,26,0.00%
Darling Harbour Live 3 Pty Limited,,,"11,977",0.02%
Darling Harbour Live 4 Pty Limited,,,"11,977",0.02%
First Sentier Investors,,,"572,954",1.06%
FP Consortium Pty Ltd,,,"71,661",0.13%
Gardior,,,"10,273",0.02%
Global Infrastructure Partners,,,"101,921",0.19%
Golden NA Power Holdings,,,"37,263",0.07%
IFM Investors Pty Ltd ,,,"688,891",1.27%
Macquarie Investment Management Australia Ltd,,,18,0.00%
Morrison & Co Utilities Management (Australia) Pty Ltd,,,"265,393",0.49%
NSW Ports Property Holdings,,,"21,730",0.04%
NSW Ports Pty Ltd,,,0,0.00%
Octopus Investments Australia,,,"29,414",0.05%
QGIF IONA,,,"1,165",0.00%
QIC Limited,,,"127,911",0.24%
Queensland Government Insurance Fund,,,"16,487",0.03%
Stonepeak Infrastructure Partners,,,"12,441",0.02%
Utilities of Aust Pty Ltd,,,0,0.00%
Total,,,"2,154,841",3.98%
Unlisted Alternatives,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Apollo Global Management,,,"72,892",0.13%
Apostle Funds Management,,,"15,734",0.03%
Athora Holding Ltd,,,"142,400",0.26%
Blackstone and Co,,,"480,607",0.89%
Fitzroy Horizons Fund,,,"272,864",0.50%
Select Market Access Fund Ltd,,,"335,759",0.62%
Snow Phipps & Guggenheim,,,281,0.00%
Total,,,"1,320,537",2.44%
Total Investment Items,,,"54,139,190",100.00%
,,,,
,,,,
Table 2 — Derivatives by kind of derivative,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Derivatives,,,,
Kind of derivative,,,Value (AUD),Weighting (%)
Swaps,,,0,0.00%
Forwards,,,"-331,770",-0.61%
Futures,,,"-7,659",-0.01%
Options,,,0,0.00%
Total,,,"-339,430",-0.63%
,,,,
,,,,
Table 3 — Derivatives by asset class,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Derivatives by Asset Class,,,,
Asset class,,,Actual asset allocation (% of total assets (including derivatives) in the investment option),Effect of derivatives exposure (% of total assets (including derivatives) in the investment option)
Cash,,,45.56%,-0.66%
Fixed Income,,,31.89%,0.29%
Equity,,,14.45%,0.37%
Property,,,1.94%,0.00%
Infrastructure,,,3.95%,0.00%
Alternatives,,,2.22%,0.00%
Total,,,100.00%,0.00%
,,,,
,,,,
Table 4—Derivatives by currency,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Derivatives by Currency,,,,
Currency exposure,,,Actual currency exposure (% of assets and derivatives under management),Effect of derivatives exposure (% of assets and derivatives under management))
AUD,,,84.14%,9.44%
USD,,,12.13%,-7.26%
Developed,,,2.61%,-1.30%
Emerging,,,1.12%,-0.22%
