Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,High Growth,Listed Equity,,American Water Works Co Inc,4761.199722,957315.2762,0.00025901,,,US0304201033
31/12/2024,High Growth,Listed Equity,,Ameriprise Financial Inc,1197.117982,1029446.059,0.00027853,,,US03076C1062
31/12/2024,High Growth,Listed Equity,,AMETEK Inc,2081.748906,606082.6259,0.00016398,,,US0311001004
31/12/2024,High Growth,Listed Equity,,Amgen Inc,3697.914223,1556689.596,0.00042118,,,US0311621009
31/12/2024,High Growth,Listed Equity,,Amlogic Shanghai Co Ltd,206.241047,3134.232208,0.00000085,,,CNE100003LZ3
31/12/2024,High Growth,Listed Equity,,Amman Mineral Internasional PT,23833.90098,20269.7247,0.00000548,,,ID1000191109
31/12/2024,High Growth,Listed Equity,,AMMB Holdings Bhd,8159.324826,16150.48443,0.00000437,,,MYL1015OO006
31/12/2024,High Growth,Listed Equity,,Amorepacific Corp,109.714695,12614.73133,0.00000341,,,KR7090430000
31/12/2024,High Growth,Listed Equity,,Amotiv Ltd,30569.49611,324036.6588,0.00008767,,,AU0000340770
31/12/2024,High Growth,Listed Equity,,Amphenol Corp,15422.61487,1729953.328,0.00046806,,,US0320951017
31/12/2024,High Growth,Listed Equity,,Amplifon SpA,575.572489,23921.06107,0.00000647,,,IT0004056880
31/12/2024,High Growth,Listed Equity,,Amplitude Energy Ltd,2863130.897,586941.8342,0.0001588,,,AU0000361909
31/12/2024,High Growth,Listed Equity,,AMP Ltd,1379882.34,2187113.509,0.00059175,,,AU000000AMP6
31/12/2024,High Growth,Listed Equity,,Ampol Ltd,109629.0143,3090441.912,0.00083615,,,AU0000088338
31/12/2024,High Growth,Listed Equity,,Amundi SA,215.550955,23144.03042,0.00000626,,,FR0004125920
31/12/2024,High Growth,Listed Equity,,Anadolu Efes Biracilik Ve Malt Sanayii AS,755.379003,6610.678303,0.00000179,,,TRAAEFES91A9
31/12/2024,High Growth,Listed Equity,,ANA Holdings Inc,292.533418,8614.654459,0.00000233,,,JP3429800000
31/12/2024,High Growth,Listed Equity,,Analog Devices Inc,3357.244738,1152031.361,0.00031169,,,US0326541051
31/12/2024,High Growth,Listed Equity,,Angel Yeast Co Ltd,307.89905,2456.062485,0.00000066,,,CNE0000014G0
31/12/2024,High Growth,Listed Equity,,Anglo American Platinum Ltd,10808.08118,526325.961,0.0001424,,,ZAE000013181
31/12/2024,High Growth,Listed Equity,,Anglo American PLC,3890.899858,186056.3678,0.00005034,,,GB00B1XZS820
31/12/2024,High Growth,Listed Equity,,Anglogold Ashanti Plc,1834.975705,66121.77566,0.00001789,,,GB00BRXH2664
31/12/2024,High Growth,Listed Equity,,Anheuser-Busch InBev SA/NV,3293.413568,265764.8876,0.00007191,,,BE0974293251
31/12/2024,High Growth,Listed Equity,,Anhui Conch Cement Co Ltd,87254.92716,360664.9035,0.00009758,,,CNE1000001W2
31/12/2024,High Growth,Listed Equity,,Anhui Conch Cement Co Ltd,898.038896,4725.336471,0.00000128,,,CNE0000019V8
31/12/2024,High Growth,Listed Equity,,Anhui Gujing Distillery Co Ltd,405.400416,9441.446234,0.00000255,,,CNE000000K82
31/12/2024,High Growth,Listed Equity,,Anhui Gujing Distillery Co Ltd,89.034142,3414.136564,0.00000092,,,CNE000000MD5
31/12/2024,High Growth,Listed Equity,,Anhui Jianghuai Automobile Group Corp Ltd,1000.671913,8303.261987,0.00000225,,,CNE0000018M9
31/12/2024,High Growth,Listed Equity,,Anhui Yingjia Distillery Co Ltd,278.135475,3319.656201,0.0000009,,,CNE1000022H9
31/12/2024,High Growth,Listed Equity,,Anjoy Foods Group Co Ltd,82.106413,1480.313974,0.0000004,,,CNE100002YQ7
31/12/2024,High Growth,Listed Equity,,Annaly Capital Management Inc,4323.133635,127777.3488,0.00003457,,,US0357108390
