Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Equity,-,"Light & Wonder, Inc.",2039951.0,0.12,LNW AU,-,Listed,Rest,Balanced,0.1185902161304132,lnw.com,Light & Wonder,,
Equity,-,Downer Edi Ltd.,1981040.0,0.11,DOW AU,-,Listed,Rest,Balanced,0.1151654925843777,downergroup.com,Downer EDI,,
Equity,-,Lendlease Corp. Ltd.,1954802.0,0.11,LLC AU,-,Listed,Rest,Balanced,0.1136401764905941,lendlease.com,Lendlease,,
Equity,-,Cleanaway Waste Management Ltd.,1930569.0,0.11,CWY AU,-,Listed,Rest,Balanced,0.1122314187765665,cleanaway.com.au,Cleanaway,,
Equity,-,Sigma Healthcare Ltd.,1870245.0,0.11,SIG AU,-,Listed,Rest,Balanced,0.1087245520930771,sigmahealthcare.com.au,Sigma Healthcare,,
Equity,-,Costco Wholesale Corp.,1856031.0,0.11,COST US,-,Listed,Rest,Balanced,0.1078982374746976,costco.com,Costco,,
Equity,-,South32 Ltd.,1853147.0,0.11,S32 AU,-,Listed,Rest,Balanced,0.1077305794361859,south32.net,South32,,
Equity,-,Steadfast Group Ltd.,1808170.0,0.1,SDF AU,-,Listed,Rest,Balanced,0.1051158930290626,steadfastgroup.com.au,Steadfast Group,,
Equity,-,"Merck & Co., Inc.",1749843.0,0.1,MRK US,-,Listed,Rest,Balanced,0.1017251196544871,merck.com,Merck,,
Equity,-,Seek Ltd.,1746346.0,0.1,SEK AU,-,Listed,Rest,Balanced,0.1015218255627133,seek.com.au,Seek,,
Equity,-,James Hardie Industries Plc,1738271.0,0.1,JHX AU,-,Listed,Rest,Balanced,0.1010523946816514,jameshardie.com,James Hardie,,
Equity,-,"Servicenow, Inc.",1670766.0,0.1,NOW US,-,Listed,Rest,Balanced,0.0971280687836845,servicenow.com,ServiceNow,,
Equity,-,"Berkshire Hathaway, Inc.",1662700.0,0.1,BRKB US,-,Listed,Rest,Balanced,0.0966591611073198,berkshirehathaway.com,Berkshire Hathaway,,
Equity,-,"Mercadolibre, Inc.",1648349.0,0.1,MELI US,-,Listed,Rest,Balanced,0.0958248821507725,mercadolibre.com,MercadoLibre,,
Equity,-,Fortescue Metals Group Ltd.,1636288.0,0.09,FMG AU,-,Listed,Rest,Balanced,0.0951237297227245,fmgl.com.au,Fortescue Metals Group,,
Equity,-,Exxon Mobil Corp.,1617875.0,0.09,XOM US,-,Listed,Rest,Balanced,0.0940533110461929,exxonmobil.com,ExxonMobil,,
Equity,-,Aia Group Ltd.,1598901.0,0.09,1299 HK,-,Listed,Rest,Balanced,0.0929502792768717,aia.com,AIA Group,,
Equity,-,Rea Group Ltd.,1592676.0,0.09,REA AU,-,Listed,Rest,Balanced,0.0925883960280036,rea-group.com,REA Group,,
Equity,-,"Abbvie, Inc.",1548419.0,0.09,ABBV US,-,Listed,Rest,Balanced,0.090015565996653,abbvie.com,AbbVie,,
Equity,-,Qantas Airways Ltd.,1545840.0,0.09,QAN AU,-,Listed,Rest,Balanced,0.0898656387839894,qantas.com,Qantas,,
Equity,-,Accenture Plc,1521240.0,0.09,ACN US,-,Listed,Rest,Balanced,0.0884355459450888,accenture.com,Accenture,,
Equity,-,Treasury Wine Estates Ltd.,1510976.0,0.09,TWE AU,-,Listed,Rest,Balanced,0.0878388600549068,tweglobal.com,Treasury Wine Estates,,
Equity,-,Novartis Ag,1506782.0,0.09,NOVN SW,-,Listed,Rest,Balanced,0.0875950466660308,novartis.com,Novartis,,
Equity,-,"Home Depot, Inc.",1497360.0,0.09,HD US,-,Listed,Rest,Balanced,0.0870473094819608,homedepot.com,Home Depot,,
Equity,-,Asml Holding Nv,1464030.0,0.08,ASML NA,-,Listed,Rest,Balanced,0.0851097080868162,asml.com,ASML,,
Equity,-,"Pfizer, Inc.",1449970.0,0.08,PFE US,-,Listed,Rest,Balanced,0.0842923460821437,pfizer.com,Pfizer,,
Equity,-,Morgan Stanley,1436595.0,0.08,MS US,-,Listed,Rest,Balanced,0.0835148057683106,morganstanley.com,Morgan Stanley,,
Equity,-,Deere & Co.,1431942.0,0.08,DE US,-,Listed,Rest,Balanced,0.0832443089398795,deere.com,Deere,,
